race_id,circuit_length_km,total_laps,race_distance_km,track_type,overtaking_difficulty,street_circuit
2011_01,5.278,58,306.12399999999997,street,medium,1
2011_02,0.0,56,0.0,permanent,medium,0
2011_03,5.451,56,305.256,permanent,easy,0
2011_04,5.338,58,309.604,permanent,medium,0
2011_05,4.657,66,307.362,permanent,medium,0
2011_06,3.337,78,260.286,street,hard,1
2011_07,4.361,70,305.27,street,medium,1
2011_08,0.0,57,0.0,permanent,medium,0
2011_09,5.891,52,306.332,permanent,medium,0
2011_10,5.148,60,308.88,permanent,medium,0
2011_11,4.381,70,306.67,permanent,hard,0
2011_12,7.004,44,308.176,permanent,easy,0
2011_13,5.793,53,307.029,permanent,easy,0
2011_14,4.94,61,301.34000000000003,street,hard,1
2011_15,5.807,53,307.771,permanent,medium,0
2011_16,0.0,55,0.0,permanent,medium,0
2011_17,0.0,60,0.0,permanent,medium,0
2011_18,5.281,55,290.455,permanent,medium,0
2011_19,4.309,71,305.939,permanent,medium,0
2012_01,5.278,58,306.12399999999997,street,medium,1
2012_02,0.0,56,0.0,permanent,medium,0
2012_03,5.451,56,305.256,permanent,easy,0
2012_04,5.412,57,308.484,permanent,easy,0
2012_05,4.657,66,307.362,permanent,medium,0
2012_06,3.337,78,260.286,street,hard,1
2012_07,4.361,70,305.27,street,medium,1
2012_08,0.0,57,0.0,permanent,medium,0
2012_09,5.891,52,306.332,permanent,medium,0
2012_10,4.574,67,306.45799999999997,permanent,medium,0
2012_11,4.381,69,302.289,permanent,hard,0
2012_12,7.004,44,308.176,permanent,easy,0
2012_13,5.793,53,307.029,permanent,easy,0
2012_14,4.94,59,291.46000000000004,street,hard,1
2012_15,5.807,53,307.771,permanent,medium,0
2012_16,0.0,55,0.0,permanent,medium,0
2012_17,0.0,60,0.0,permanent,medium,0
2012_18,5.281,55,290.455,permanent,medium,0
2012_19,5.513,56,308.728,permanent,easy,0
2012_20,4.309,71,305.939,permanent,medium,0
2013_01,5.278,58,306.12399999999997,street,medium,1
2013_02,0.0,56,0.0,permanent,medium,0
2013_03,5.451,56,305.256,permanent,easy,0
2013_04,5.412,57,308.484,permanent,easy,0
2013_05,4.657,66,307.362,permanent,medium,0
2013_06,3.337,78,260.286,street,hard,1
2013_07,4.361,70,305.27,street,medium,1
2013_08,5.891,52,306.332,permanent,medium,0
2013_09,5.148,60,308.88,permanent,medium,0
2013_10,4.381,70,306.67,permanent,hard,0
2013_11,7.004,44,308.176,permanent,easy,0
2013_12,5.793,53,307.029,permanent,easy,0
2013_13,4.94,61,301.34000000000003,street,hard,1
2013_14,0.0,55,0.0,permanent,medium,0
2013_15,5.807,53,307.771,permanent,medium,0
2013_16,0.0,60,0.0,permanent,medium,0
2013_17,5.281,55,290.455,permanent,medium,0
2013_18,5.513,56,308.728,permanent,easy,0
2013_19,4.309,71,305.939,permanent,medium,0
2014_01,5.278,57,300.846,street,medium,1
2014_02,0.0,56,0.0,permanent,medium,0
2014_03,5.412,57,308.484,permanent,easy,0
2014_04,5.451,54,294.354,permanent,easy,0
2014_05,4.657,66,307.362,permanent,medium,0
2014_06,3.337,78,260.286,street,hard,1
2014_07,4.361,70,305.27,street,medium,1
2014_08,4.318,71,306.578,permanent,medium,0
2014_09,5.891,52,306.332,permanent,medium,0
2014_10,4.574,67,306.45799999999997,permanent,medium,0
2014_11,4.381,70,306.67,permanent,hard,0
2014_12,7.004,44,308.176,permanent,easy,0
2014_13,5.793,53,307.029,permanent,easy,0
2014_14,4.94,60,296.40000000000003,street,hard,1
2014_15,5.807,44,255.508,permanent,medium,0
2014_16,5.848,53,309.944,permanent,medium,0
2014_17,5.513,56,308.728,permanent,easy,0
2014_18,4.309,71,305.939,permanent,medium,0
2014_19,5.281,55,290.455,permanent,medium,0
2015_01,5.278,58,306.12399999999997,street,medium,1
2015_02,0.0,56,0.0,permanent,medium,0
2015_03,5.451,56,305.256,permanent,easy,0
2015_04,5.412,57,308.484,permanent,easy,0
2015_05,4.657,66,307.362,permanent,medium,0
2015_06,3.337,78,260.286,street,hard,1
2015_07,4.361,70,305.27,street,medium,1
2015_08,4.318,71,306.578,permanent,medium,0
2015_09,5.891,52,306.332,permanent,medium,0
2015_10,4.381,69,302.289,permanent,hard,0
2015_11,7.004,43,301.17199999999997,permanent,easy,0
2015_12,5.793,53,307.029,permanent,easy,0
2015_13,4.94,61,301.34000000000003,street,hard,1
2015_14,5.807,53,307.771,permanent,medium,0
2015_15,5.848,53,309.944,permanent,medium,0
2015_16,5.513,56,308.728,permanent,easy,0
2015_17,4.304,71,305.584,permanent,medium,0
2015_18,4.309,71,305.939,permanent,medium,0
2015_19,5.281,55,290.455,permanent,medium,0
2016_01,5.278,57,300.846,street,medium,1
2016_02,5.412,57,308.484,permanent,easy,0
2016_03,5.451,56,305.256,permanent,easy,0
2016_04,5.848,53,309.944,permanent,medium,0
2016_05,4.657,66,307.362,permanent,medium,0
2016_06,3.337,78,260.286,street,hard,1
2016_07,4.361,70,305.27,street,medium,1
2016_08,6.003,51,306.153,street,easy,1
2016_09,4.318,71,306.578,permanent,medium,0
2016_10,5.891,52,306.332,permanent,medium,0
2016_11,4.381,70,306.67,permanent,hard,0
2016_12,4.574,67,306.45799999999997,permanent,medium,0
2016_13,7.004,44,308.176,permanent,easy,0
2016_14,5.793,53,307.029,permanent,easy,0
2016_15,4.94,61,301.34000000000003,street,hard,1
2016_16,0.0,56,0.0,permanent,medium,0
2016_17,5.807,53,307.771,permanent,medium,0
2016_18,5.513,56,308.728,permanent,easy,0
2016_19,4.304,71,305.584,permanent,medium,0
2016_20,4.309,71,305.939,permanent,medium,0
2016_21,5.281,55,290.455,permanent,medium,0
2017_01,5.278,57,300.846,street,medium,1
2017_02,5.451,56,305.256,permanent,easy,0
2017_03,5.412,57,308.484,permanent,easy,0
2017_04,5.848,52,304.096,permanent,medium,0
2017_05,4.657,66,307.362,permanent,medium,0
2017_06,3.337,78,260.286,street,hard,1
2017_07,4.361,70,305.27,street,medium,1
2017_08,6.003,51,306.153,street,easy,1
2017_09,4.318,71,306.578,permanent,medium,0
2017_10,5.891,51,300.441,permanent,medium,0
2017_11,4.381,70,306.67,permanent,hard,0
2017_12,7.004,44,308.176,permanent,easy,0
2017_13,5.793,53,307.029,permanent,easy,0
2017_14,4.94,58,286.52000000000004,street,hard,1
2017_15,0.0,56,0.0,permanent,medium,0
2017_16,5.807,53,307.771,permanent,medium,0
2017_17,5.513,56,308.728,permanent,easy,0
2017_18,4.304,71,305.584,permanent,medium,0
2017_19,4.309,71,305.939,permanent,medium,0
2017_20,5.281,55,290.455,permanent,medium,0
2018_01,5.278,58,306.12399999999997,street,medium,1
2018_02,5.412,57,308.484,permanent,easy,0
2018_03,5.451,56,305.256,permanent,easy,0
2018_04,6.003,51,306.153,street,easy,1
2018_05,4.657,66,307.362,permanent,medium,0
2018_06,3.337,78,260.286,street,hard,1
2018_07,4.361,68,296.548,street,medium,1
2018_08,5.842,53,309.626,permanent,medium,0
2018_09,4.318,71,306.578,permanent,medium,0
2018_10,5.891,52,306.332,permanent,medium,0
2018_11,4.574,67,306.45799999999997,permanent,medium,0
2018_12,4.381,70,306.67,permanent,hard,0
2018_13,7.004,44,308.176,permanent,easy,0
2018_14,5.793,53,307.029,permanent,easy,0
2018_15,4.94,61,301.34000000000003,street,hard,1
2018_16,5.848,53,309.944,permanent,medium,0
2018_17,5.807,53,307.771,permanent,medium,0
2018_18,5.513,56,308.728,permanent,easy,0
2018_19,4.304,71,305.584,permanent,medium,0
2018_20,4.309,71,305.939,permanent,medium,0
2018_21,5.281,55,290.455,permanent,medium,0
2019_01,5.278,58,306.12399999999997,street,medium,1
2019_02,5.412,57,308.484,permanent,easy,0
2019_03,5.451,56,305.256,permanent,easy,0
2019_04,6.003,51,306.153,street,easy,1
2019_05,4.657,66,307.362,permanent,medium,0
2019_06,3.337,78,260.286,street,hard,1
2019_07,4.361,70,305.27,street,medium,1
2019_08,5.842,53,309.626,permanent,medium,0
2019_09,4.318,71,306.578,permanent,medium,0
2019_10,5.891,52,306.332,permanent,medium,0
2019_11,4.574,64,292.736,permanent,medium,0
2019_12,4.381,70,306.67,permanent,hard,0
2019_13,7.004,44,308.176,permanent,easy,0
2019_14,5.793,53,307.029,permanent,easy,0
2019_15,4.94,61,301.34000000000003,street,hard,1
2019_16,5.848,53,309.944,permanent,medium,0
2019_17,5.807,52,301.964,permanent,medium,0
2019_18,4.304,71,305.584,permanent,medium,0
2019_19,5.513,56,308.728,permanent,easy,0
2019_20,4.309,71,305.939,permanent,medium,0
2019_21,5.281,55,290.455,permanent,medium,0
2020_01,4.318,71,306.578,permanent,medium,0
2020_02,4.318,71,306.578,permanent,medium,0
2020_03,4.381,70,306.67,permanent,hard,0
2020_04,5.891,52,306.332,permanent,medium,0
2020_05,5.891,52,306.332,permanent,medium,0
2020_06,4.657,66,307.362,permanent,medium,0
2020_07,7.004,44,308.176,permanent,easy,0
2020_08,5.793,53,307.029,permanent,easy,0
2020_09,5.245,59,309.455,permanent,medium,0
2020_10,5.848,53,309.944,permanent,medium,0
2020_11,5.148,60,308.88,permanent,medium,0
2020_12,4.653,66,307.09799999999996,permanent,medium,0
2020_13,4.909,63,309.267,permanent,hard,0
2020_14,5.338,58,309.604,permanent,medium,0
2020_15,5.412,57,308.484,permanent,easy,0
2020_16,5.412,87,470.844,permanent,easy,0
2020_17,5.281,55,290.455,permanent,medium,0
2021_01,5.412,56,303.072,permanent,easy,0
2021_02,4.909,63,309.267,permanent,hard,0
2021_03,4.653,66,307.09799999999996,permanent,medium,0
2021_04,4.657,66,307.362,permanent,medium,0
2021_05,3.337,78,260.286,street,hard,1
2021_06,6.003,51,306.153,street,easy,1
2021_07,5.842,53,309.626,permanent,medium,0
2021_08,4.318,71,306.578,permanent,medium,0
2021_09,4.318,71,306.578,permanent,medium,0
2021_10,5.891,52,306.332,permanent,medium,0
2021_11,4.381,70,306.67,permanent,hard,0
2021_12,7.004,1,7.004,permanent,easy,0
2021_13,4.259,72,306.648,permanent,hard,0
2021_14,5.793,53,307.029,permanent,easy,0
2021_15,5.848,53,309.944,permanent,medium,0
