race_id,constructor_id,constructor_position_before_race,constructor_points_before_race,constructor_wins_before_race,constructor_performance_score
2011_01,red_bull,0,0.0,0,0.0
2011_01,mclaren,0,0.0,0,0.0
2011_01,renault,0,0.0,0,0.0
2011_01,ferrari,0,0.0,0,0.0
2011_01,toro_rosso,0,0.0,0,0.0
2011_01,force_india,0,0.0,0,0.0
2011_01,lotus_racing,0,0.0,0,0.0
2011_01,virgin,0,0.0,0,0.0
2011_01,williams,0,0.0,0,0.0
2011_01,mercedes,0,0.0,0,0.0
2011_01,sauber,0,0.0,0,0.0
2011_02,red_bull,1,35.0,1,45.0
2011_02,mclaren,2,26.0,0,26.0
2011_02,renault,4,15.0,0,15.0
2011_02,ferrari,3,18.0,0,18.0
2011_02,sauber,10,0.0,0,0.0
2011_02,mercedes,9,0.0,0,0.0
2011_02,force_india,6,3.0,0,3.0
2011_02,toro_rosso,5,4.0,0,4.0
2011_02,lotus_racing,8,0.0,0,0.0
2011_02,virgin,11,0.0,0,0.0
2011_02,hrt,7,0.0,0,0.0
2011_02,williams,12,0.0,0,0.0
2011_03,mclaren,2,48.0,0,48.0
2011_03,red_bull,1,72.0,2,92.0
2011_03,mercedes,8,2.0,0,2.0
2011_03,ferrari,3,36.0,0,36.0
2011_03,renault,4,30.0,0,30.0
2011_03,sauber,5,6.0,0,6.0
2011_03,force_india,6,4.0,0,4.0
2011_03,williams,12,0.0,0,0.0
2011_03,toro_rosso,7,4.0,0,4.0
2011_03,lotus_racing,10,0.0,0,0.0
2011_03,virgin,11,0.0,0,0.0
2011_03,hrt,9,0.0,0,0.0
2011_04,red_bull,1,105.0,2,125.0
2011_04,ferrari,3,50.0,0,50.0
2011_04,mclaren,2,85.0,1,95.0
2011_04,mercedes,5,16.0,0,16.0
2011_04,renault,4,32.0,0,32.0
2011_04,toro_rosso,8,4.0,0,4.0
2011_04,sauber,6,7.0,0,7.0
2011_04,force_india,7,4.0,0,4.0
2011_04,williams,12,0.0,0,0.0
2011_04,lotus_racing,10,0.0,0,0.0
2011_04,virgin,11,0.0,0,0.0
2011_04,hrt,9,0.0,0,0.0
2011_05,red_bull,1,148.0,3,178.0
2011_05,mclaren,2,105.0,1,115.0
2011_05,ferrari,3,65.0,0,65.0
2011_05,mercedes,5,26.0,0,26.0
2011_05,renault,4,42.0,0,42.0
