"driver_id","nationality","date_of_birth"
"aitken","British","1995-09-23"
"albon","Thai","1996-03-23"
"alguersuari","Spanish","1990-03-23"
"alonso","Spanish","1981-07-29"
"ambrosio","Belgian","1985-12-27"
"antonelli","Italian","2006-08-25"
"arvid_lindblad","British","2007-08-08"
"barrichello","Brazilian","1972-05-23"
"bearman","British","2005-05-08"
"bortoleto","Brazilian","2004-10-14"
"bottas","Finnish","1989-08-28"
"brendon_hartley","New Zealander","1989-11-10"
"bruno_senna","Brazilian","1983-10-15"
"buemi","Swiss","1988-10-31"
"button","British","1980-01-19"
"chandhok","Indian","1984-01-19"
"chilton","British","1991-04-21"
"colapinto","Argentine","2003-05-27"
"de_vries","Dutch","1995-02-06"
"doohan","Australian","2003-01-20"
"ericsson","Swedish","1990-09-02"
"garde","Dutch","1985-04-25"
"gasly","French","1996-02-07"
"giovinazzi","Italian","1993-12-14"
"glock","German","1982-03-18"
"grassi","Brazilian","1984-08-11"
"grosjean","French","1986-04-17"
"gutierrez","Mexican","1991-08-05"
"hadjar","French","2004-09-28"
"hamilton","British","1985-01-07"
"haryanto","Indonesian","1993-01-22"
"heidfeld","German","1977-05-10"
"hulkenberg","German","1987-08-19"
"jolyon_palmer","British","1991-01-20"
"jules_bianchi","French","1989-08-03"
"karthikeyan","Indian","1977-01-14"
"kevin_magnussen","Danish","1992-10-05"
"klien","Austrian","1983-02-07"
"kobayashi","Japanese","1986-09-13"
"kovalainen","Finnish","1981-10-19"
"kubica","Polish","1984-12-07"
"kvyat","Russian","1994-04-26"
"latifi","Canadian","1995-06-29"
"lawson","New Zealander","2002-02-11"
"leclerc","Monegasque","1997-10-16"
"liuzzi","Italian","1980-08-06"
"lotterer","German","1981-11-19"
"maldonado","Venezuelan","1985-03-09"
"massa","Brazilian","1981-04-25"
"max_verstappen","Dutch","1997-09-30"
"mazepin","Russian","1999-03-02"
"merhi","Spanish","1991-03-22"
"michael_schumacher","German","1969-01-03"
"mick_schumacher","German","1999-03-22"
"nasr","Brazilian","1992-08-21"
"norris","British","1999-11-13"
"ocon","French","1996-09-17"
"perez","Mexican","1990-01-26"
"petrov","Russian","1984-09-08"
"piastri","Australian","2001-04-06"
"pic","French","1990-02-15"
"pietro_fittipaldi","Brazilian","1996-06-25"
"raikkonen","Finnish","1979-10-17"
"resta","British","1986-04-16"
"ricciardo","Australian","1989-07-01"
"rosa","Spanish","1971-02-24"
"rosberg","German","1985-06-27"
"rossi","American","1991-09-25"
"russell","British","1998-02-15"
"sainz","Spanish","1994-09-01"
"sargeant","American","2000-12-31"
"sirotkin","Russian","1995-08-27"
"stevens","British","1991-06-28"
"stroll","Canadian","1998-10-29"
"sutil","German","1983-01-11"
"trulli","Italian","1974-07-13"
"tsunoda","Japanese","2000-05-11"
"vandoorne","Belgian","1992-03-26"
"vergne","French","1990-04-25"
"vettel","German","1987-07-03"
"webber","Australian","1976-08-27"
"wehrlein","German","1994-10-18"
"yamamoto","Japanese","1982-07-09"
"zhou","Chinese","1999-05-30"
