race_id,driver_id,driver_position_before_race,driver_points_before_race,driver_wins_before_race,driver_performance_score
2011_01,vettel,0,0.0,0,0.0
2011_01,hamilton,0,0.0,0,0.0
2011_01,petrov,0,0.0,0,0.0
2011_01,alonso,0,0.0,0,0.0
2011_01,webber,0,0.0,0,0.0
2011_01,button,0,0.0,0,0.0
2011_01,massa,0,0.0,0,0.0
2011_01,buemi,0,0.0,0,0.0
2011_01,sutil,0,0.0,0,0.0
2011_01,resta,0,0.0,0,0.0
2011_01,alguersuari,0,0.0,0,0.0
2011_01,heidfeld,0,0.0,0,0.0
2011_01,trulli,0,0.0,0,0.0
2011_01,ambrosio,0,0.0,0,0.0
2011_01,glock,0,0.0,0,0.0
2011_01,barrichello,0,0.0,0,0.0
2011_01,rosberg,0,0.0,0,0.0
2011_01,kovalainen,0,0.0,0,0.0
2011_01,michael_schumacher,0,0.0,0,0.0
2011_01,maldonado,0,0.0,0,0.0
2011_01,kobayashi,0,0.0,0,0.0
2011_01,perez,0,0.0,0,0.0
2011_02,vettel,1,25.0,1,35.0
2011_02,button,6,8.0,0,8.0
2011_02,heidfeld,15,0.0,0,0.0
2011_02,webber,5,10.0,0,10.0
2011_02,massa,7,6.0,0,6.0
2011_02,alonso,4,12.0,0,12.0
2011_02,kobayashi,17,0.0,0,0.0
2011_02,hamilton,2,18.0,0,18.0
2011_02,michael_schumacher,21,0.0,0,0.0
2011_02,resta,10,1.0,0,1.0
2011_02,sutil,9,2.0,0,2.0
2011_02,rosberg,23,0.0,0,0.0
2011_02,buemi,8,4.0,0,4.0
2011_02,alguersuari,11,0.0,0,0.0
2011_02,kovalainen,18,0.0,0,0.0
2011_02,glock,14,0.0,0,0.0
2011_02,petrov,3,15.0,0,15.0
2011_02,liuzzi,19,0.0,0,0.0
2011_02,ambrosio,12,0.0,0,0.0
2011_02,trulli,24,0.0,0,0.0
2011_02,perez,22,0.0,0,0.0
2011_02,barrichello,13,0.0,0,0.0
2011_02,karthikeyan,16,0.0,0,0.0
2011_02,maldonado,20,0.0,0,0.0
2011_03,hamilton,3,22.0,0,22.0
2011_03,vettel,1,50.0,2,70.0
2011_03,webber,4,22.0,0,22.0
2011_03,button,2,26.0,0,26.0
2011_03,rosberg,23,0.0,0,0.0
2011_03,massa,6,16.0,0,16.0
2011_03,alonso,5,20.0,0,20.0
2011_03,michael_schumacher,11,2.0,0,2.0
2011_03,petrov,8,15.0,0,15.0
2011_03,kobayashi,9,6.0,0,6.0
2011_03,resta,12,2.0,0,2.0
2011_03,heidfeld,7,15.0,0,15.0
2011_03,barrichello,16,0.0,0,0.0
2011_03,buemi,10,4.0,0,4.0
2011_03,sutil,13,2.0,0,2.0
2011_03,kovalainen,19,0.0,0,0.0
2011_03,perez,22,0.0,0,0.0
2011_03,maldonado,21,0.0,0,0.0
2011_03,trulli,24,0.0,0,0.0
2011_03,ambrosio,15,0.0,0,0.0
2011_03,glock,17,0.0,0,0.0
2011_03,liuzzi,20,0.0,0,0.0
2011_03,karthikeyan,18,0.0,0,0.0
2011_03,alguersuari,14,0.0,0,0.0
