race_id,driver_id,fastf1_current_lap_data_available,fastf1_current_lap_count,fastf1_current_accurate_lap_count,fastf1_current_avg_lap_time,fastf1_current_best_lap_time,fastf1_current_lap_time_std,fastf1_current_avg_position,fastf1_current_best_position,fastf1_current_worst_position,fastf1_current_avg_tyre_life,fastf1_current_stint_count,fastf1_current_compound_count,fastf1_current_wet_lap_rate,fastf1_current_soft_lap_rate,fastf1_current_medium_lap_rate,fastf1_current_hard_lap_rate,fastf1_current_intermediate_lap_rate,fastf1_current_speedi1_mean,fastf1_current_speedi2_mean,fastf1_current_speedfl_mean,fastf1_current_speedst_mean
2018_01,alonso,1,58,48,93.12360344827586,86.978,11.665410755792848,6.931034482758621,5.0,10.0,14.964912280701755,2,2,0.0,0.5517241379310345,0.0,0.0,0.0,259.6551724137931,276.86206896551727,275.89473684210526,269.8793103448276
2018_01,bottas,1,58,47,93.23486206896553,87.019,10.257244987792566,10.241379310344827,8.0,15.0,16.36842105263158,2,2,0.0,0.0,0.0,0.0,0.0,262.2931034482759,286.3793103448276,286.42105263157896,281.91379310344826
2018_01,brendon_hartley,1,57,44,94.66243859649124,88.176,10.60943703884977,16.17543859649123,15.0,20.0,14.701754385964913,3,3,0.0,0.4035087719298245,0.0,0.0,0.0,259.4736842105263,275.3859649122807,266.45454545454544,265.50877192982455
2018_01,ericsson,1,5,1,95.01919999999998,92.21,4.839873940507132,16.0,16.0,16.0,2.5,1,1,0.0,0.0,0.0,0.0,0.0,267.6,296.0,292.0,273.6
2018_01,gasly,1,13,9,93.18853846153846,90.649,3.92092417707444,16.384615384615383,16.0,17.0,6.5,1,1,0.0,0.0,0.0,0.0,0.0,263.7692307692308,280.38461538461536,281.46153846153845,278.53846153846155
2018_01,grosjean,1,24,19,91.36991666666664,88.805,4.076579825833034,5.375,4.0,7.0,15.0,1,1,0.0,0.0,0.0,0.0,0.0,270.5833333333333,290.3333333333333,284.5217391304348,281.9166666666667
2018_01,hamilton,1,58,45,92.72963793103447,86.444,12.896042914462742,1.6896551724137931,1.0,2.0,17.571428571428573,2,2,0.0,0.6724137931034483,0.0,0.0,0.0,257.8103448275862,283.2068965517241,276.140350877193,275.63793103448273
2018_01,hulkenberg,1,58,46,93.20610344827584,87.081,10.335220219680782,7.120689655172414,6.0,10.0,16.49122807017544,2,2,0.0,0.5862068965517241,0.0,0.0,0.0,264.55172413793105,283.91379310344826,280.17543859649123,282.0
2018_01,kevin_magnussen,1,22,17,91.43031818181818,89.534,3.775192257432529,4.227272727272728,4.0,9.0,14.0,1,1,0.0,0.0,0.0,0.0,0.0,265.6818181818182,285.27272727272725,280.5238095238095,277.77272727272725
2018_01,leclerc,1,58,45,93.949,88.759,9.882913028608238,14.672413793103448,13.0,18.0,12.526315789473683,3,3,0.0,0.1206896551724138,0.0,0.0,0.0,263.7241379310345,283.58620689655174,277.9642857142857,277.7586206896552
2018_01,max_verstappen,1,58,45,93.14186206896552,86.88,10.557998789034354,6.5344827586206895,5.0,13.0,17.07017543859649,2,2,0.0,0.6379310344827587,0.0,0.0,0.0,263.3793103448276,284.9482758620689,283.9298245614035,285.7068965517241
2018_01,ocon,1,58,45,93.68208620689656,87.6,9.342587296307167,12.655172413793103,12.0,14.0,15.491228070175438,2,2,0.0,0.603448275862069,0.0,0.0,0.0,265.2758620689655,287.0344827586207,275.4035087719298,288.7413793103448
2018_01,perez,1,58,46,93.45,87.633,9.607982376379944,11.327586206896552,9.0,13.0,15.280701754385966,2,2,0.0,0.5862068965517241,0.0,0.0,0.0,266.4482758620689,289.7413793103448,281.1929824561403,292.5344827586207
2018_01,raikkonen,1,58,45,92.75158620689656,86.373,12.604088363858278,2.706896551724138,2.0,3.0,17.964912280701753,2,2,0.0,0.6896551724137931,0.0,0.0,0.0,263.62068965517244,282.3103448275862,275.280701754386,272.1551724137931
2018_01,ricciardo,1,58,48,92.76468965517242,85.945,12.05243648454664,4.982758620689655,4.0,8.0,16.280701754385966,2,2,0.0,0.5517241379310345,0.0,0.0,0.0,264.9655172413793,282.2586206896552,285.140350877193,280.1551724137931
2018_01,sainz,1,58,45,93.43112068965516,87.944,10.09023395900724,9.79310344827586,8.0,15.0,16.842105263157894,2,2,0.0,0.6206896551724138,0.0,0.0,0.0,261.2068965517241,280.01724137931035,275.9824561403509,268.55172413793105
2018_01,sirotkin,1,4,0,96.53675,92.573,5.777801933910509,19.0,19.0,19.0,2.0,1,1,0.0,0.0,0.0,0.0,0.0,262.75,292.75,283.75,274.5
2018_01,stroll,1,58,47,93.99260344827586,88.511,9.32325646257168,14.10344827586207,11.0,15.0,13.070175438596491,3,3,0.0,0.0689655172413793,0.0,0.0,0.0,262.36206896551727,287.1034482758621,279.0357142857143,279.9310344827586
2018_01,vandoorne,1,58,47,93.24489655172414,86.958,10.404433167694558,9.43103448275862,6.0,11.0,15.105263157894736,2,2,0.0,0.0,0.0,0.0,0.0,259.8448275862069,279.82758620689657,274.8245614035088,276.6896551724138
2018_01,vettel,1,58,47,92.6428103448276,86.469,13.250323414994895,1.603448275862069,1.0,3.0,16.280701754385966,2,2,0.0,0.5517241379310345,0.0,0.0,0.0,264.2758620689655,282.7068965517241,274.87719298245617,278.55172413793105
2018_02,alonso,1,56,46,98.6348214285714,94.168,6.418871724696815,7.928571428571429,5.0,16.0,10.345454545454546,3,3,0.0,0.2321428571428571,0.4464285714285714,0.0,0.0,233.5178571428572,249.30357142857144,272.7962962962963,282.69642857142856
2018_02,bottas,1,56,50,96.90201785714284,93.74,5.986486142886062,2.0357142857142856,1.0,3.0,16.6,2,2,0.0,0.0,0.6428571428571429,0.0,0.0,239.125,254.375,279.05454545454546,296.5
2018_02,brendon_hartley,1,56,46,99.133875,94.689,7.052770058794782,11.660714285714286,5.0,18.0,10.727272727272728,3,2,0.0,0.3928571428571428,0.0,0.0,0.0,229.41071428571428,252.44642857142856,274.6111111111111,285.6607142857143
2018_02,ericsson,1,56,48,98.88492857142856,95.093,5.62038094113463,9.696428571428571,6.0,16.0,14.8,2,2,0.0,0.3928571428571428,0.5892857142857143,0.0,0.0,234.53571428571428,252.8928571428572,280.8363636363636,297.92857142857144
2018_02,gasly,1,56,48,97.98323214285712,94.863,6.480678166649006,4.785714285714286,1.0,9.0,12.127272727272729,3,2,0.0,0.3392857142857143,0.0,0.0,0.0,228.3928571428572,250.5178571428572,273.5925925925926,279.94642857142856
2018_02,grosjean,1,56,44,99.26867857142858,94.053,6.699438836060246,13.214285714285714,7.0,18.0,7.581818181818182,4,2,0.0,0.2142857142857142,0.0,0.0,0.0,231.6071428571429,254.42857142857144,282.24528301886795,296.875
2018_02,hamilton,1,56,50,97.01046428571428,93.953,5.936034808584302,3.7142857142857135,1.0,10.0,15.727272727272728,2,2,0.0,0.4464285714285714,0.5357142857142857,0.0,0.0,237.6071428571429,252.44642857142856,277.8,295.0892857142857
2018_02,hulkenberg,1,57,47,98.61340350877192,94.667,6.396904146674553,6.543859649122807,3.0,12.0,12.0,3,2,0.0,0.4210526315789473,0.0,0.0,0.0,231.21052631578948,246.35087719298247,274.8,283.4736842105263
2018_02,kevin_magnussen,1,57,48,98.19273684210526,94.327,6.362241411079368,6.701754385964913,2.0,16.0,12.964285714285714,3,2,0.0,0.5263157894736842,0.0,0.0,0.0,232.7719298245614,248.73684210526315,277.58181818181816,290.8421052631579
2018_02,leclerc,1,56,48,99.20669642857143,95.058,6.680580612383827,15.875,14.0,18.0,13.672727272727272,3,3,0.0,0.0357142857142857,0.5535714285714286,0.0,0.0,230.80357142857144,253.67857142857144,280.55555555555554,293.3928571428572
2018_02,max_verstappen,1,2,0,115.883,103.654,12.229,15.0,11.0,19.0,1.0,1,1,0.0,0.0,0.0,0.0,0.0,222.5,244.0,282.0,219.0
2018_02,ocon,1,56,46,98.994375,95.043,6.144063437179769,10.767857142857142,6.0,18.0,10.690909090909091,3,3,0.0,0.375,0.3571428571428571,0.0,0.0,234.69642857142856,257.10714285714283,281.35185185185185,304.23214285714283
2018_02,perez,1,56,47,99.13339285714284,95.075,6.1627935330803965,14.625,11.0,20.0,11.127272727272729,3,3,0.0,0.1428571428571428,0.4107142857142857,0.0,0.0,237.1071428571429,253.78571428571428,282.0740740740741,302.0892857142857
2018_02,raikkonen,1,34,27,98.16364705882351,94.337,7.275532343095763,3.176470588235294,2.0,4.0,10.454545454545457,2,2,0.0,0.4411764705882353,0.0,0.0,0.0,235.14705882352945,250.52941176470588,274.25,287.5882352941176
2018_02,ricciardo,1,1,0,98.684,98.684,0.0,4.0,4.0,4.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,232.0,253.0,281.0,262.0
2018_02,sainz,1,56,46,99.1125892857143,95.535,6.087723928931503,12.535714285714286,8.0,18.0,18.454545454545453,3,2,0.0,0.5357142857142857,0.0,0.0,0.0,237.32142857142856,251.30357142857144,280.462962962963,297.32142857142856
2018_02,sirotkin,1,56,46,99.63705357142858,94.563,6.253758899424417,16.464285714285715,12.0,19.0,9.78181818181818,3,3,0.0,0.375,0.3214285714285714,0.0,0.0,235.03571428571428,252.28571428571428,277.1481481481481,291.0178571428572
2018_02,stroll,1,55,47,99.1526909090909,95.266,5.666374594916697,12.472727272727273,8.0,17.0,10.74074074074074,3,3,0.0,0.1636363636363636,0.4545454545454545,0.0,0.0,235.45454545454547,250.65454545454543,278.62264150943395,293.1636363636364
2018_02,vandoorne,1,56,47,98.805875,95.131,6.186378273682371,11.910714285714286,8.0,18.0,11.309090909090909,3,3,0.0,0.3214285714285714,0.5,0.0,0.0,231.7678571428572,253.7321428571429,275.22222222222223,284.6428571428572
2018_02,vettel,1,56,50,96.88858928571427,94.453,5.97875959655986,1.1964285714285714,1.0,4.0,17.12962962962963,2,2,0.0,0.6785714285714286,0.0,0.0,0.0,235.78571428571428,250.25,278.0,291.8928571428572
2018_03,alonso,1,56,21,102.98248214285717,97.234,9.831189320929935,9.125,7.0,13.0,20.47272727272728,2,2,0.0,0.8214285714285714,0.1607142857142857,0.0,0.0,267.2857142857143,261.5892857142857,252.85454545454544,307.1607142857143
2018_03,bottas,1,54,22,100.4470925925926,96.987,9.540608165001498,1.7222222222222223,1.0,3.0,22.54716981132076,2,2,0.0,0.8148148148148148,0.1666666666666666,0.0,0.0,264.31481481481484,264.2037037037037,254.2075471698113,306.5
2018_03,brendon_hartley,1,49,16,102.23510204081632,99.376,4.286052730659741,19.367346938775512,17.0,20.0,20.604166666666668,2,2,0.0,0.1020408163265306,0.0,0.0,0.0,267.6122448979592,260.0408163265306,254.30434782608697,312.1020408163265
2018_03,ericsson,1,54,21,101.60718518518522,98.386,4.246566644008162,18.09259259259259,15.0,20.0,19.41509433962264,2,2,0.0,0.7962962962962963,0.1851851851851851,0.0,0.0,272.98148148148147,264.5925925925926,255.26415094339623,313.037037037037
2018_03,gasly,1,55,23,102.36129090909093,98.367,7.476901503777489,16.854545454545455,15.0,20.0,19.61111111111111,2,2,0.0,0.0,0.8,0.0,0.0,269.3090909090909,263.3636363636364,256.37735849056605,315.6727272727273
2018_03,grosjean,1,56,20,103.60135714285714,97.41,10.353192048191453,12.446428571428571,8.0,20.0,22.27272727272728,2,1,0.0,0.0,0.0,0.0,0.0,268.2142857142857,259.9107142857143,251.5555555555556,308.48214285714283
2018_03,hamilton,1,54,22,100.73324074074074,96.878,9.21869645307273,4.555555555555555,3.0,5.0,21.81132075471698,2,2,0.0,0.7962962962962963,0.1851851851851851,0.0,0.0,270.44444444444446,266.537037037037,255.8679245283019,311.48148148148147
2018_03,hulkenberg,1,55,22,101.9296181818182,96.881,9.420635864450896,7.654545454545454,6.0,13.0,22.05555555555556,2,2,0.0,0.1818181818181818,0.0,0.0,0.0,265.58181818181816,259.7818181818182,252.6981132075472,304.03636363636366
2018_03,kevin_magnussen,1,56,22,103.14239285714288,98.152,10.463491072156168,8.535714285714286,6.0,10.0,23.09090909090909,2,2,0.0,0.8035714285714286,0.1785714285714285,0.0,0.0,267.69642857142856,258.9642857142857,249.03636363636363,304.92857142857144
2018_03,leclerc,1,54,22,101.87970370370373,98.808,3.528403744794886,17.814814814814813,14.0,20.0,19.41509433962264,2,2,0.0,0.7962962962962963,0.1851851851851851,0.0,0.0,271.2037037037037,264.98148148148147,253.18867924528303,309.85185185185185
2018_03,max_verstappen,1,54,22,100.54940740740744,96.206,9.321895872022711,3.7777777777777777,3.0,5.0,21.81132075471698,2,2,0.0,0.1851851851851851,0.0,0.0,0.0,271.3888888888889,264.4074074074074,255.57692307692307,309.55555555555554
2018_03,ocon,1,56,22,103.2219642857143,97.985,10.42429472085742,12.678571428571429,10.0,19.0,19.818181818181817,2,2,0.0,0.8035714285714286,0.0,0.0,0.0,266.125,258.5357142857143,256.3703703703704,308.60714285714283
2018_03,perez,1,56,22,103.23401785714285,97.673,9.75957827962406,13.928571428571429,11.0,19.0,22.27272727272728,2,2,0.0,0.1785714285714285,0.0,0.0,0.0,268.7142857142857,261.8928571428572,256.8888888888889,312.1428571428572
2018_03,raikkonen,1,55,22,101.61700000000002,96.456,10.49802899769112,3.763636363636364,1.0,6.0,22.75925925925926,2,2,0.0,0.8181818181818182,0.1636363636363636,0.0,0.0,270.8545454545455,265.2,256.0,307.96363636363634
2018_03,ricciardo,1,54,22,100.4982962962963,95.785,9.374507176438524,4.425925925925926,1.0,7.0,22.54716981132076,2,2,0.0,0.1666666666666666,0.0,0.0,0.0,268.4259259259259,262.8703703703704,253.32692307692307,307.6296296296296
2018_03,sainz,1,55,22,102.203,97.754,8.75599440591208,9.963636363636365,8.0,16.0,22.05555555555556,2,2,0.0,0.1818181818181818,0.0,0.0,0.0,266.8363636363636,261.58181818181816,255.16981132075472,307.3818181818182
2018_03,sirotkin,1,56,22,103.475375,98.624,8.521991795522123,15.232142857142858,11.0,18.0,20.0,2,1,0.0,0.9821428571428572,0.0,0.0,0.0,260.6607142857143,261.5178571428572,253.3148148148148,306.1428571428572
2018_03,stroll,1,56,23,103.42625,98.5,9.22965342030396,13.321428571428571,9.0,17.0,19.818181818181817,2,2,0.0,0.8035714285714286,0.1785714285714285,0.0,0.0,260.1607142857143,256.42857142857144,252.3636363636364,301.5
2018_03,vandoorne,1,56,23,103.31701785714286,98.137,9.412827204502586,13.535714285714286,10.0,17.0,19.818181818181817,2,2,0.0,0.8035714285714286,0.1785714285714285,0.0,0.0,264.75,261.6607142857143,252.3090909090909,304.94642857142856
2018_03,vettel,1,54,22,100.96470370370372,97.479,9.516639933081017,3.074074074074074,1.0,8.0,21.346153846153847,2,2,0.0,0.7777777777777778,0.1851851851851851,0.0,0.0,269.6666666666667,263.7037037037037,253.2830188679245,305.85185185185185
2018_04,alonso,1,41,38,112.77453658536588,107.449,14.510517637297438,11.853658536585366,7.0,17.0,19.365853658536587,3,3,0.0,0.8536585365853658,0.0,0.0,0.0,190.9268292682927,194.14634146341464,309.9,303.2682926829268
2018_04,bottas,1,37,35,108.56137837837838,105.149,7.480596870070296,2.1621621621621623,1.0,3.0,25.58333333333333,2,2,0.0,0.0,0.0,0.0,0.0,205.97297297297297,207.7297297297297,306.4166666666667,307.27027027027026
2018_04,brendon_hartley,1,42,34,114.05440476190472,108.288,11.009278496015732,14.333333333333334,10.0,16.0,10.142857142857142,4,3,0.0,0.0238095238095238,0.0,0.0,0.0,188.7619047619048,191.78571428571428,291.2564102564103,298.1904761904762
2018_04,ericsson,1,46,32,118.32676086956526,107.925,17.520120634616426,16.0,11.0,18.0,9.043478260869565,5,3,0.0,0.3043478260869565,0.0,0.0,0.0,183.2826086956522,184.1086956521739,301.6666666666667,294.0434782608696
2018_04,gasly,1,42,35,113.9166904761905,108.035,9.527649683916446,13.69047619047619,7.0,17.0,11.829268292682928,3,2,0.0,0.6428571428571429,0.0,0.0,0.0,193.66666666666663,202.3333333333333,287.95,293.04761904761904
2018_04,grosjean,1,37,34,111.81013513513514,106.88,10.79390843263036,9.37837837837838,6.0,14.0,20.47222222222222,2,2,0.0,0.0,0.0,0.0,0.0,185.64864864864865,198.0540540540541,307.6666666666667,303.43243243243245
2018_04,hamilton,1,40,36,109.16035,105.412,7.815066584969063,2.4,1.0,3.0,13.205128205128204,3,3,0.0,0.45,0.0,0.0,0.0,198.2,206.825,304.89473684210526,305.125
2018_04,hulkenberg,1,6,5,119.44633333333331,108.867,17.398819592783358,7.0,5.0,10.0,10.0,1,1,0.0,0.0,0.0,0.0,0.0,177.83333333333334,176.5,296.5,295.3333333333333
2018_04,kevin_magnussen,1,43,36,115.56711627906978,108.155,16.656002686662458,14.093023255813954,10.0,17.0,18.25581395348837,3,3,0.0,0.813953488372093,0.0,0.0,0.0,174.7674418604651,182.7906976744186,308.9268292682927,300.2325581395349
2018_04,leclerc,1,41,35,111.90134146341464,107.403,10.292365950500036,8.512195121951219,5.0,12.0,11.05,3,3,0.0,0.3902439024390244,0.0,0.0,0.0,194.26829268292684,196.609756097561,305.87179487179486,300.4634146341463
2018_04,max_verstappen,1,35,32,109.74674285714286,105.771,8.124137863157655,4.342857142857143,4.0,6.0,24.294117647058822,2,2,0.0,0.0,0.0,0.0,0.0,195.9142857142857,201.97142857142856,305.55882352941177,305.8285714285714
2018_04,perez,1,41,38,111.08578048780488,106.206,9.274732063744665,8.170731707317072,3.0,15.0,19.375,2,2,0.0,0.8536585365853658,0.0,0.0,0.0,188.97560975609755,197.9268292682927,312.575,308.5609756097561
2018_04,raikkonen,1,41,38,111.07514634146342,106.523,9.636338153208118,6.439024390243903,2.0,11.0,21.5,3,2,0.0,0.8536585365853658,0.0,0.0,0.0,197.0487804878049,195.97560975609755,308.64102564102564,297.390243902439
2018_04,ricciardo,1,35,32,109.7274,105.419,8.09736641207674,5.228571428571429,4.0,7.0,23.147058823529413,2,2,0.0,0.0,0.0,0.0,0.0,193.65714285714284,199.4857142857143,312.29411764705884,310.9428571428571
2018_04,sainz,1,41,35,111.4448292682927,106.856,9.436400132394532,8.097560975609756,4.0,13.0,12.625,3,2,0.0,0.6097560975609756,0.0,0.0,0.0,189.0,194.0487804878049,301.28205128205127,301.0243902439024
2018_04,stroll,1,41,36,111.97097560975612,106.815,9.974515073457187,9.390243902439025,7.0,12.0,10.9,3,3,0.0,0.4146341463414634,0.0,0.0,0.0,192.0731707317073,201.5609756097561,305.87179487179486,303.7073170731707
2018_04,vandoorne,1,43,33,114.66486046511628,107.666,10.102278194779435,13.953488372093023,9.0,16.0,7.309523809523809,5,3,0.0,0.1860465116279069,0.0,0.0,0.0,191.8372093023256,196.53488372093025,298.55,294.1860465116279
2018_04,vettel,1,40,36,108.9749,105.53,7.168911328786261,1.55,1.0,4.0,15.205128205128204,3,3,0.0,0.25,0.0,0.0,0.0,205.55,206.325,300.05263157894734,297.65
2018_05,alonso,1,64,55,88.01006249999999,80.727,13.32166339425538,9.765625,8.0,16.0,19.936507936507937,2,2,0.0,0.0,0.6875,0.0,0.0,253.53125,248.1875,267.984126984127,298.828125
2018_05,bottas,1,65,56,86.06884615384615,79.478,13.763026344556156,3.107692307692308,2.0,7.0,21.078125,2,2,0.0,0.2615384615384615,0.7230769230769231,0.0,0.0,258.8615384615385,255.8615384615385,276.1875,303.04615384615386
2018_05,brendon_hartley,1,63,53,88.85739682539682,81.439,13.751369519721534,14.285714285714286,12.0,17.0,16.5,2,1,0.0,0.0,0.984126984126984,0.0,0.0,255.77777777777777,253.3968253968254,264.8032786885246,295.23809523809524
2018_05,ericsson,1,63,53,88.94446031746034,82.487,13.666241767872728,12.412698412698411,7.0,16.0,16.596774193548388,2,2,0.0,0.4603174603174603,0.5238095238095238,0.0,0.0,256.55555555555554,250.77777777777777,274.3225806451613,298.55555555555554
2018_05,hamilton,1,65,55,85.75664615384616,79.133,13.797835967928805,1.123076923076923,1.0,2.0,18.84375,2,2,0.0,0.3538461538461538,0.6307692307692307,0.0,0.0,266.8615384615385,259.9230769230769,270.65625,301.5076923076923
2018_05,kevin_magnussen,1,64,54,87.37982812499999,80.246,13.289753580713375,6.3125,6.0,7.0,18.666666666666668,2,2,0.0,0.46875,0.515625,0.0,0.0,257.203125,255.578125,270.1269841269841,293.171875
2018_05,leclerc,1,63,54,88.55585714285715,82.122,13.167563599175132,9.682539682539682,8.0,16.0,19.016129032258064,2,2,0.0,0.2857142857142857,0.6984126984126984,0.0,0.0,255.66666666666663,250.52380952380952,271.3225806451613,298.1587301587302
2018_05,max_verstappen,1,65,56,86.16466153846154,79.422,13.852005987778224,3.3384615384615386,1.0,5.0,18.5,2,2,0.0,0.4923076923076923,0.4923076923076923,0.0,0.0,255.41538461538465,252.8,270.40625,299.6307692307692
2018_05,ocon,1,37,30,91.15867567567568,82.117,16.16466181429384,11.243243243243244,7.0,16.0,12.5,2,2,0.0,0.7297297297297297,0.2432432432432432,0.0,0.0,243.9189189189189,238.7567567567568,272.0,302.1891891891892
2018_05,perez,1,63,54,88.51044444444445,81.128,14.060805851703329,11.396825396825395,9.0,15.0,14.080645161290322,3,2,0.0,0.7619047619047619,0.2222222222222222,0.0,0.0,252.57142857142856,242.984126984127,274.8196721311475,309.41269841269843
2018_05,raikkonen,1,24,18,93.94525,81.531,19.93732504468691,3.8333333333333335,2.0,11.0,16.0,1,1,0.0,0.9583333333333334,0.0,0.0,0.0,239.3333333333333,236.91666666666663,265.0869565217391,284.4583333333333
2018_05,ricciardo,1,65,55,86.51683076923076,78.441,14.101518548417436,4.892307692307693,3.0,6.0,18.453125,2,2,0.0,0.4769230769230769,0.5076923076923077,0.0,0.0,258.4307692307692,248.06153846153848,266.8125,296.38461538461536
2018_05,sainz,1,64,54,87.95315625,81.324,13.30271444247699,7.703125,7.0,10.0,19.22222222222222,2,2,0.0,0.359375,0.625,0.0,0.0,250.90625,244.6875,269.1904761904762,296.3125
2018_05,sirotkin,1,63,51,91.07001587301588,82.68,15.91758737650392,15.22222222222222,13.0,17.0,11.548387096774194,3,2,0.0,0.0,0.6349206349206349,0.0,0.0,250.36507936507937,246.1428571428572,269.56666666666666,296.3174603174603
2018_05,stroll,1,63,54,88.66655555555558,82.095,13.371468228886457,12.126984126984128,10.0,17.0,19.016129032258064,2,2,0.0,0.2857142857142857,0.6984126984126984,0.0,0.0,249.65079365079364,247.22222222222223,272.6290322580645,296.85714285714283
2018_05,vandoorne,1,44,34,91.4019090909091,82.594,15.477475522099528,12.068181818181818,7.0,14.0,16.790697674418606,2,2,0.0,0.7272727272727273,0.25,0.0,0.0,238.79545454545453,239.97727272727272,266.3488372093023,296.54545454545456
2018_05,vettel,1,65,56,86.1770923076923,79.128,14.393749753302997,3.4615384615384617,2.0,7.0,12.578125,3,2,0.0,0.2307692307692307,0.7538461538461538,0.0,0.0,263.81538461538463,259.6,276.6825396825397,299.6923076923077
2018_06,alonso,1,52,49,79.68798076923078,77.018,2.84809405561512,7.961538461538462,6.0,10.0,16.11764705882353,2,2,0.0,0.0,0.0,0.0,0.0,198.3846153846154,185.09615384615384,252.1960784313725,277.7692307692308
2018_06,bottas,1,78,72,79.4055,76.312,3.784480897065859,5.038461538461538,4.0,7.0,27.15584415584416,2,2,0.0,0.0,0.0,0.0,0.0,195.43589743589743,187.96153846153845,260.06493506493507,281.93589743589746
2018_06,brendon_hartley,1,70,67,79.63727142857142,77.172,2.8407116307685416,12.642857142857142,11.0,18.0,25.08695652173913,2,2,0.0,0.0,0.0,0.0,0.0,197.8428571428572,187.72857142857143,254.6086956521739,275.54285714285714
2018_06,ericsson,1,78,73,80.0598846153846,76.936,4.03073497777333,14.0,11.0,18.0,26.32467532467533,2,2,0.0,0.0,0.0,0.0,0.0,190.7179487179488,184.43589743589743,261.06493506493507,280.8076923076923
