race_id,fastf1_race_control_available,fastf1_race_control_messages_count,fastf1_safety_car_count,fastf1_virtual_safety_car_count,fastf1_red_flag_count,fastf1_yellow_flag_count,fastf1_double_yellow_count,fastf1_black_flag_count,fastf1_track_limits_count,fastf1_investigation_count,fastf1_penalty_count,fastf1_incident_count,fastf1_drs_disabled_count,fastf1_deleted_lap_count,fastf1_slippery_track_count,fastf1_clear_count,fastf1_race_disruption_score
2018_01,1,55.0,1.0,1.0,1.0,14.0,5.0,0.0,0.0,2.0,0.0,5.0,7.0,0.0,0.0,11.0,41.0
2018_02,1,69.0,0.0,1.0,1.0,15.0,10.0,0.0,0.0,6.0,1.0,7.0,2.0,0.0,0.0,15.0,50.0
2018_03,1,37.0,1.0,0.0,1.0,6.0,4.0,0.0,0.0,4.0,2.0,6.0,4.0,0.0,1.0,6.0,29.0
2018_04,1,109.0,2.0,0.0,1.0,22.0,10.0,0.0,0.0,8.0,2.0,11.0,8.0,0.0,0.0,22.0,66.0
2018_05,1,87.0,1.0,1.0,1.0,8.0,3.0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,8.0,29.0
2018_06,1,58.0,0.0,1.0,1.0,8.0,3.0,0.0,0.0,4.0,3.0,7.0,2.0,0.0,0.0,7.0,29.0
2018_07,1,101.0,1.0,0.0,1.0,6.0,3.0,0.0,0.0,5.0,0.0,7.0,1.0,0.0,2.0,8.0,28.0
2018_08,1,75.0,1.0,1.0,1.0,15.0,6.0,0.0,0.0,6.0,3.0,13.0,1.0,0.0,0.0,13.0,52.0
2018_09,1,121.0,0.0,1.0,1.0,15.0,7.0,0.0,0.0,7.0,0.0,15.0,1.0,0.0,1.0,15.0,52.0
2018_10,1,64.0,3.0,0.0,1.0,19.0,7.0,0.0,0.0,5.0,1.0,7.0,1.0,0.0,2.0,16.0,57.0
2018_11,1,97.0,3.0,0.0,1.0,10.0,1.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,3.0,13.0,33.0
2018_12,1,95.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,4.0,17.0
2018_13,1,31.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,4.0,0.0,6.0,1.0,0.0,0.0,4.0,17.0
2018_14,1,48.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,5.0,19.0
2018_15,1,65.0,1.0,0.0,1.0,4.0,3.0,0.0,0.0,5.0,3.0,8.0,1.0,0.0,0.0,3.0,27.0
2018_16,1,79.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,6.0,15.0
2018_17,1,64.0,1.0,1.0,1.0,6.0,2.0,0.0,0.0,4.0,3.0,10.0,1.0,0.0,0.0,7.0,32.0
2018_18,1,93.0,0.0,1.0,1.0,9.0,1.0,0.0,11.0,3.0,2.0,6.0,1.0,0.0,7.0,16.0,25.0
2018_19,1,148.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,2.0,1.0,8.0,1.0,0.0,0.0,7.0,26.0
2018_20,1,101.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,3.0,2.0,5.0,1.0,0.0,1.0,4.0,18.0
2018_21,1,70.0,1.0,1.0,1.0,11.0,5.0,0.0,0.0,3.0,4.0,7.0,1.0,0.0,1.0,12.0,40.0
2019_01,1,62.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,10.0
2019_02,1,99.0,1.0,0.0,1.0,22.0,11.0,0.0,0.0,5.0,1.0,9.0,1.0,0.0,0.0,20.0,62.0
2019_03,1,83.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,0.0,0.0,2.0,14.0
2019_04,1,83.0,0.0,1.0,1.0,12.0,10.0,0.0,0.0,3.0,1.0,3.0,1.0,0.0,3.0,15.0,43.0
2019_05,1,96.0,1.0,0.0,1.0,6.0,2.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,0.0,6.0,22.0
2019_06,1,100.0,1.0,0.0,1.0,18.0,5.0,0.0,0.0,9.0,4.0,10.0,1.0,0.0,1.0,17.0,47.0
2019_07,1,130.0,0.0,0.0,1.0,7.0,6.0,0.0,0.0,3.0,1.0,10.0,1.0,0.0,0.0,6.0,34.0
2019_08,1,94.0,0.0,1.0,1.0,5.0,3.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,6.0,24.0
2019_09,1,103.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,1.0,0.0,0.0,0.0,10.0
2019_10,1,46.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,4.0,1.0,7.0,1.0,0.0,2.0,6.0,22.0
2019_11,1,90.0,5.0,2.0,1.0,11.0,2.0,0.0,0.0,7.0,1.0,16.0,0.0,0.0,3.0,19.0,62.0
2019_12,1,96.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,1.0,13.0
2019_13,1,61.0,2.0,0.0,1.0,14.0,10.0,0.0,0.0,11.0,0.0,15.0,1.0,0.0,0.0,9.0,62.0
2019_14,1,83.0,0.0,2.0,1.0,6.0,2.0,0.0,2.0,10.0,4.0,17.0,1.0,2.0,0.0,8.0,38.0
2019_15,1,54.0,3.0,0.0,1.0,7.0,3.0,0.0,0.0,12.0,0.0,13.0,1.0,0.0,0.0,9.0,43.0
2019_16,1,48.0,2.0,1.0,1.0,7.0,4.0,0.0,0.0,10.0,2.0,11.0,1.0,0.0,0.0,8.0,42.0
2019_17,1,90.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0,6.0,0.0,8.0,1.0,0.0,0.0,4.0,22.0
2019_18,1,122.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,12.0,1.0,13.0,1.0,0.0,0.0,3.0,23.0
2019_19,1,90.0,0.0,0.0,1.0,6.0,4.0,0.0,13.0,6.0,1.0,9.0,1.0,13.0,1.0,4.0,28.0
2019_20,1,98.0,2.0,0.0,1.0,8.0,6.0,0.0,0.0,10.0,3.0,10.0,1.0,0.0,0.0,8.0,43.0
2019_21,1,82.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,8.0,2.0,0.0,0.0,1.0,14.0
2020_01,1,87.0,3.0,0.0,1.0,15.0,6.0,0.0,15.0,8.0,2.0,10.0,1.0,13.0,3.0,16.0,54.0
2020_02,1,104.0,1.0,0.0,1.0,2.0,0.0,0.0,22.0,4.0,0.0,4.0,3.0,21.0,0.0,3.0,15.0
2020_03,1,107.0,0.0,0.0,1.0,5.0,1.0,0.0,3.0,3.0,2.0,5.0,1.0,3.0,0.0,4.0,17.0
2020_04,1,54.0,2.0,0.0,1.0,8.0,3.0,0.0,9.0,7.0,2.0,8.0,1.0,9.0,1.0,8.0,35.0
