race_id,driver_id,races_count_previous_5,top10_finishes_previous_5,top10_rate_previous_5,points_previous_5,avg_points_previous_5,points_finishes_previous_5,avg_finish_position_previous_5,avg_grid_position_previous_5,best_finish_previous_5,worst_finish_previous_5,avg_laps_completed_previous_5,dnf_previous_5
2011_01,vettel,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,hamilton,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,petrov,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,alonso,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,webber,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,button,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,massa,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,buemi,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,sutil,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,resta,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,alguersuari,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,heidfeld,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,trulli,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,ambrosio,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,glock,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,barrichello,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,rosberg,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,kovalainen,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,michael_schumacher,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,maldonado,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,kobayashi,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_01,perez,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_02,vettel,1,1,1.0,25.0,25.0,1,1.0,1.0,1,1,58.0,0
2011_02,button,1,1,1.0,8.0,8.0,1,6.0,4.0,6,6,58.0,0
2011_02,heidfeld,1,0,0.0,0.0,0.0,0,12.0,18.0,12,12,57.0,0
2011_02,webber,1,1,1.0,10.0,10.0,1,5.0,3.0,5,5,58.0,0
2011_02,massa,1,1,1.0,6.0,6.0,1,7.0,8.0,7,7,58.0,0
2011_02,alonso,1,1,1.0,12.0,12.0,1,4.0,5.0,4,4,58.0,0
2011_02,kobayashi,1,0,0.0,0.0,0.0,0,21.0,9.0,21,21,58.0,0
2011_02,hamilton,1,1,1.0,18.0,18.0,1,2.0,2.0,2,2,58.0,0
2011_02,michael_schumacher,1,0,0.0,0.0,0.0,0,19.0,11.0,19,19,19.0,1
2011_02,resta,1,1,1.0,1.0,1.0,1,10.0,14.0,10,10,57.0,0
2011_02,sutil,1,1,1.0,2.0,2.0,1,9.0,16.0,9,9,57.0,0
2011_02,rosberg,1,0,0.0,0.0,0.0,0,17.0,7.0,17,17,22.0,1
2011_02,buemi,1,1,1.0,4.0,4.0,1,8.0,10.0,8,8,57.0,0
2011_02,alguersuari,1,0,0.0,0.0,0.0,0,11.0,12.0,11,11,57.0,0
2011_02,kovalainen,1,0,0.0,0.0,0.0,0,18.0,19.0,18,18,19.0,1
2011_02,glock,1,0,0.0,0.0,0.0,0,15.0,21.0,15,15,49.0,0
2011_02,petrov,1,1,1.0,15.0,15.0,1,3.0,6.0,3,3,58.0,0
2011_02,liuzzi,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_02,ambrosio,1,0,0.0,0.0,0.0,0,14.0,22.0,14,14,54.0,0
2011_02,trulli,1,0,0.0,0.0,0.0,0,13.0,20.0,13,13,56.0,0
2011_02,perez,1,0,0.0,0.0,0.0,0,22.0,13.0,22,22,58.0,0
2011_02,barrichello,1,0,0.0,0.0,0.0,0,16.0,17.0,16,16,48.0,1
2011_02,karthikeyan,0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.0,0
2011_02,maldonado,1,0,0.0,0.0,0.0,0,20.0,15.0,20,20,9.0,1
2011_03,hamilton,2,2,1.0,22.0,11.0,2,5.0,2.0,2,8,57.0,0
2011_03,vettel,2,2,1.0,50.0,25.0,2,1.0,1.0,1,1,57.0,0
