race_id,driver_id,pit_lap,pit_stop_number,pit_duration_seconds
2011_01,alguersuari,1,1,26.898
2011_01,michael_schumacher,1,1,25.021
2011_01,webber,11,1,23.426
2011_01,alonso,12,1,23.251
2011_01,massa,13,1,23.842
2011_01,barrichello,13,1,23.643
2011_01,vettel,14,1,22.603
2011_01,resta,14,1,24.863
2011_01,ambrosio,14,1,25.259
2011_01,buemi,15,1,25.342
2011_01,heidfeld,15,1,22.994
2011_01,hamilton,16,1,23.227
2011_01,petrov,16,1,24.535
2011_01,rosberg,16,1,23.716
2011_01,kobayashi,16,1,24.064
2011_01,sutil,16,1,25.978
2011_01,trulli,16,1,24.899
2011_01,button,17,1,16.867
2011_01,alguersuari,17,2,24.463
2011_01,kovalainen,17,1,24.865
2011_01,michael_schumacher,17,2,23.988
2011_01,glock,18,1,23.792
2011_01,button,19,2,23.303
2011_01,perez,23,1,23.438
2011_01,barrichello,23,2,37.856
2011_01,webber,26,2,22.52
2011_01,alonso,27,2,24.733
2011_01,barrichello,28,3,16.892
2011_01,buemi,29,2,23.1
2011_01,heidfeld,30,2,25.098
2011_01,massa,31,2,24.5
2011_01,kobayashi,32,2,24.192
2011_01,vettel,36,2,24.036
2011_01,hamilton,36,2,23.199
2011_01,alguersuari,35,3,26.348
2011_01,petrov,36,2,25.683
2011_01,resta,36,2,24.332
2011_01,button,37,3,22.681
2011_01,sutil,37,2,23.871
2011_01,trulli,37,2,24.848
2011_01,ambrosio,38,2,26.446
2011_01,webber,41,3,26.23
2011_01,barrichello,40,4,26.309
2011_01,alonso,42,3,24.181
2011_01,massa,48,3,24.095
2011_02,sutil,3,1,31.694
2011_02,barrichello,3,1,32.978
2011_02,webber,10,1,22.572
2011_02,resta,11,1,22.773
2011_02,hamilton,12,1,22.552
2011_02,vettel,13,1,23.019
2011_02,heidfeld,13,1,23.9
2011_02,button,13,1,22.4
2011_02,massa,13,1,29.224
2011_02,trulli,13,1,25.516
2011_02,alonso,14,1,23.152
2011_02,michael_schumacher,14,1,22.576
2011_02,petrov,15,1,23.182
2011_02,buemi,15,1,23.28
2011_02,rosberg,15,1,24.967
2011_02,kovalainen,15,1,29.084
2011_02,alguersuari,16,1,23.584
2011_02,sutil,16,2,22.046
2011_02,kobayashi,17,1,23.28
2011_02,perez,17,1,23.597
2011_02,glock,17,1,24.617
2011_02,ambrosio,17,1,26.252
2011_02,liuzzi,17,1,27.815
2011_02,barrichello,17,2,24.502
2011_02,buemi,20,2,29.843
2011_02,webber,22,2,21.991
2011_02,button,23,2,22.471
2011_02,hamilton,24,2,22.611
2011_02,resta,24,2,22.419
2011_02,vettel,25,2,21.893
2011_02,alonso,26,2,23.894
2011_02,heidfeld,26,2,23.221
2011_02,massa,27,2,22.541
2011_02,petrov,27,2,22.68
2011_02,michael_schumacher,28,2,22.261
2011_02,rosberg,29,2,22.577
2011_02,webber,32,3,22.069
2011_02,alguersuari,32,2,22.888
2011_02,sutil,32,3,22.55
2011_02,buemi,32,3,27.439
2011_02,kovalainen,34,2,23.336
2011_02,glock,34,2,24.429
2011_02,ambrosio,35,2,24.416
2011_02,kobayashi,36,2,23.442
2011_02,hamilton,37,3,25.382
2011_02,resta,37,3,23.977
2011_02,button,38,3,22.483
2011_02,massa,38,3,22.893
2011_02,heidfeld,39,3,22.602
2011_02,liuzzi,38,2,26.554
2011_02,rosberg,40,3,22.526
2011_02,vettel,41,3,22.313
2011_02,alonso,41,3,23.812
2011_02,michael_schumacher,42,3,22.227
2011_02,webber,43,4,22.161
2011_02,petrov,44,3,28.694
2011_02,alonso,46,4,27.182
2011_02,liuzzi,44,3,38.823
2011_02,hamilton,52,4,22.466
2011_03,alguersuari,9,1,22.419
2011_03,liuzzi,9,1,14.16
2011_03,michael_schumacher,10,1,20.522
2011_03,webber,10,1,23.442
2011_03,maldonado,10,1,23.16
2011_03,resta,11,1,21.989
2011_03,rosberg,12,1,20.771
2011_03,buemi,12,1,22.01
2011_03,button,14,1,23.779
2011_03,vettel,14,1,21.995
2011_03,kobayashi,14,1,21.855
2011_03,massa,15,1,21.624
2011_03,hamilton,15,1,20.878
2011_03,sutil,15,1,20.989
2011_03,alonso,16,1,22.524
2011_03,perez,16,1,21.473
2011_03,barrichello,16,1,21.709
2011_03,buemi,16,2,24.722
2011_03,glock,16,1,22.683
2011_03,petrov,17,1,21.981
2011_03,heidfeld,18,1,22.216
2011_03,kovalainen,19,1,22.485
2011_03,trulli,20,1,23.029
2011_03,ambrosio,20,1,22.901
2011_03,liuzzi,21,2,24.467
2011_03,karthikeyan,23,1,26.049
2011_03,button,24,2,20.758
2011_03,rosberg,25,2,22.005
2011_03,hamilton,25,2,20.533
2011_03,webber,25,2,21.132
2011_03,maldonado,25,2,22.062
2011_03,michael_schumacher,26,2,21.964
2011_03,glock,28,2,21.908
2011_03,sutil,30,2,21.058
2011_03,kobayashi,30,2,21.936
2011_03,heidfeld,30,2,21.821
2011_03,vettel,31,2,21.533
2011_03,alonso,32,2,21.251
2011_03,resta,32,2,21.218
2011_03,massa,33,2,21.168
2011_03,buemi,33,3,21.928
2011_03,ambrosio,34,2,22.802
2011_03,barrichello,35,2,21.481
2011_03,perez,36,2,23.397
2011_03,button,37,3,21.237
2011_03,petrov,37,2,22.005
2011_03,hamilton,38,3,20.567
2011_03,rosberg,39,3,20.72
2011_03,michael_schumacher,39,3,21.4
2011_03,webber,40,3,21.091
