race_id,driver_id,races_with_pit_data_previous_3,avg_pit_stop_time_previous_3_races,best_pit_stop_time_previous_3_races,worst_pit_stop_time_previous_3_races,total_pit_stops_previous_3_races,avg_total_pit_time_previous_3_races,avg_pit_stop_rank_previous_3_races
2011_01,vettel,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,hamilton,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,petrov,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,alonso,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,webber,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,button,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,massa,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,buemi,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,sutil,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,resta,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,alguersuari,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,heidfeld,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,trulli,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,ambrosio,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,glock,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,barrichello,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,rosberg,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,kovalainen,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,michael_schumacher,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,maldonado,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,kobayashi,0,0.0,0.0,0.0,0,0.0,0.0
2011_01,perez,0,0.0,0.0,0.0,0,0.0,0.0
2011_02,vettel,1,23.3195,22.603,24.036,2,46.639,6.0
2011_02,button,1,20.950333333333333,16.867,23.303,3,62.851,16.0
2011_02,heidfeld,1,24.046,22.994,25.098,2,48.092,7.0
2011_02,webber,1,24.058666666666667,22.52,26.23,3,72.176,18.0
2011_02,massa,1,24.145666666666667,23.842,24.5,3,72.437,19.0
2011_02,alonso,1,24.055000000000003,23.251,24.733,3,72.165,17.0
2011_02,kobayashi,1,24.128,24.064,24.192,2,48.256,8.0
2011_02,hamilton,1,23.213,23.199,23.227,2,46.426,5.0
2011_02,michael_schumacher,1,24.5045,23.988,25.021,2,49.009,10.0
2011_02,resta,1,24.5975,24.332,24.863,2,49.195,11.0
2011_02,sutil,1,24.924500000000002,23.871,25.978,2,49.849000000000004,13.0
2011_02,rosberg,1,23.716,23.716,23.716,1,23.716,2.0
2011_02,buemi,1,24.221,23.1,25.342,2,48.442,9.0
2011_02,alguersuari,1,25.903000000000002,24.463,26.898,3,77.709,20.0
2011_02,kovalainen,1,24.865,24.865,24.865,1,24.865,4.0
2011_02,glock,1,23.792,23.792,23.792,1,23.792,3.0
2011_02,petrov,1,25.109,24.535,25.683,2,50.218,14.0
2011_02,liuzzi,0,0.0,0.0,0.0,0,0.0,0.0
2011_02,ambrosio,1,25.8525,25.259,26.446,2,51.705,15.0
2011_02,trulli,1,24.8735,24.848,24.899,2,49.747,12.0
2011_02,perez,1,23.438,23.438,23.438,1,23.438,1.0
2011_02,barrichello,1,26.175,16.892,37.856,4,104.7,21.0
2011_02,karthikeyan,0,0.0,0.0,0.0,0,0.0,0.0
2011_02,maldonado,1,0.0,0.0,0.0,0,0.0,0.0
2011_03,hamilton,2,23.232875,22.466,25.382,6,69.7185,12.5
2011_03,vettel,2,22.863916666666668,21.893,24.036,5,56.932,8.0
2011_03,webber,2,23.128458333333334,21.991,26.23,7,80.4845,18.5
2011_03,button,2,21.700833333333335,16.867,23.303,6,65.10249999999999,13.5
2011_03,rosberg,2,23.53633333333333,22.526,24.967,4,46.893,8.0
2011_03,massa,2,24.515833333333333,22.541,29.224,6,73.5475,17.5
2011_03,alonso,2,24.2825,23.152,27.182,7,85.10249999999999,19.5
2011_03,michael_schumacher,2,23.429583333333333,22.227,25.021,5,58.0365,9.5
2011_03,petrov,2,24.9805,22.68,28.694,5,62.387,14.5
2011_03,kobayashi,2,23.744500000000002,23.28,24.192,4,47.489000000000004,6.0
2011_03,resta,2,23.826916666666666,22.419,24.863,5,59.182,11.5
2011_03,heidfeld,2,23.6435,22.602,25.098,5,58.9075,10.0
2011_03,barrichello,2,27.457500000000003,16.892,37.856,6,81.09,14.5
2011_03,buemi,2,25.5375,23.1,29.843,5,64.502,13.5
2011_03,sutil,2,25.17725,22.046,31.694,5,63.0695,15.0
2011_03,kovalainen,2,25.5375,23.336,29.084,3,38.6425,5.5
2011_03,perez,2,23.5175,23.438,23.597,2,23.5175,1.0
2011_03,maldonado,2,0.0,0.0,0.0,0,0.0,0.0
2011_03,trulli,2,25.19475,24.848,25.516,3,37.6315,7.0
2011_03,ambrosio,2,25.593249999999998,24.416,26.446,4,51.186499999999995,10.5
2011_03,glock,2,24.1575,23.792,24.617,3,36.419,4.0
2011_03,liuzzi,1,31.064000000000004,26.554,38.823,3,93.19200000000001,21.0
2011_03,karthikeyan,1,0.0,0.0,0.0,0,0.0,0.0
2011_03,alguersuari,2,24.5695,22.888,26.898,5,62.090500000000006,11.5
2011_04,vettel,3,22.497277777777782,21.533,24.036,7,52.464,7.333333333333333
2011_04,webber,3,22.715083333333336,21.091,26.23,10,75.54466666666667,18.333333333333332
2011_04,alonso,3,23.484166666666667,21.251,27.182,9,71.32666666666667,15.333333333333334
2011_04,hamilton,3,22.375027777777778,20.533,25.382,9,67.13833333333334,13.0
2011_04,rosberg,3,22.746,20.72,24.967,7,52.42733333333333,10.666666666666666
2011_04,button,3,21.775444444444446,16.867,23.779,9,65.32633333333332,15.333333333333334
2011_04,heidfeld,3,23.10183333333333,21.821,25.098,7,53.95066666666667,10.0
2011_04,petrov,3,23.98466666666667,21.981,28.694,7,56.25333333333333,12.666666666666666
2011_04,buemi,3,24.65388888888889,21.928,29.843,8,65.88799999999999,15.666666666666666
2011_04,kobayashi,3,23.12816666666667,21.855,24.192,6,46.25633333333334,6.666666666666667
2011_04,massa,3,23.47588888888889,21.168,29.224,8,63.29566666666667,12.666666666666666
2011_04,michael_schumacher,3,22.718166666666665,20.522,25.021,8,59.986333333333334,12.0
2011_04,sutil,3,24.6465,20.989,31.694,8,65.63133333333333,17.0
