race_id,driver_id,qualifying_position,q1_seconds,q2_seconds,q3_seconds,best_qualifying_seconds,reached_q2,reached_q3,qualifying_gap_to_pole_seconds
2011_01,vettel,1,85.29599999999999,84.09,83.529,83.529,1,1,0.0
2011_01,hamilton,2,85.384,84.595,84.307,84.307,1,1,0.7780000000000058
2011_01,webber,3,85.9,84.658,84.395,84.395,1,1,0.8659999999999997
2011_01,button,4,85.886,84.957,84.779,84.779,1,1,1.25
2011_01,alonso,5,85.707,85.242,84.974,84.974,1,1,1.4450000000000074
2011_01,petrov,6,85.543,85.582,85.247,85.247,1,1,1.7180000000000035
2011_01,rosberg,7,85.856,85.606,85.42099999999999,85.42099999999999,1,1,1.891999999999996
2011_01,massa,8,86.031,85.611,85.599,85.599,1,1,2.0700000000000074
2011_01,kobayashi,9,85.717,85.405,85.626,85.405,1,1,1.8760000000000048
2011_01,buemi,10,86.232,85.882,87.066,85.882,1,1,2.3530000000000086
2011_01,michael_schumacher,11,85.962,85.971,,85.962,1,0,2.433000000000007
2011_01,alguersuari,12,86.62,86.10300000000001,,86.10300000000001,1,0,2.5740000000000123
2011_01,perez,13,85.812,86.108,,85.812,1,0,2.2830000000000013
2011_01,resta,14,87.22200000000001,86.739,,86.739,1,0,3.210000000000008
2011_01,maldonado,15,86.298,86.768,,86.298,1,0,2.7690000000000055
2011_01,sutil,16,86.245,91.407,,86.245,1,0,2.716000000000008
2011_01,barrichello,17,86.27,,,86.27,0,0,2.7409999999999997
2011_01,heidfeld,18,87.239,,,87.239,0,0,3.710000000000008
2011_01,kovalainen,19,89.254,,,89.254,0,0,5.7250000000000085
2011_01,trulli,20,89.342,,,89.342,0,0,5.813000000000002
2011_01,glock,21,89.858,,,89.858,0,0,6.329000000000008
2011_01,ambrosio,22,90.822,,,90.822,0,0,7.293000000000006
2011_01,liuzzi,23,92.97800000000001,,,92.97800000000001,0,0,9.449000000000012
2011_01,karthikeyan,24,94.293,,,94.293,0,0,10.76400000000001
2011_02,vettel,1,97.468,95.934,94.87,94.87,1,1,0.0
2011_02,hamilton,2,96.86099999999999,95.852,94.97399999999999,94.97399999999999,1,1,0.103999999999985
2011_02,webber,3,97.924,96.08,95.179,95.179,1,1,0.3089999999999975
2011_02,button,4,97.033,95.569,95.2,95.2,1,1,0.3299999999999983
2011_02,alonso,5,96.89699999999999,96.32,95.80199999999999,95.80199999999999,1,1,0.931999999999988
2011_02,heidfeld,6,97.22399999999999,96.811,96.124,96.124,1,1,1.2539999999999907
2011_02,massa,7,96.744,96.557,96.251,96.251,1,1,1.3810000000000002
2011_02,petrov,8,97.21000000000001,96.642,96.324,96.324,1,1,1.4539999999999935
