race_id,safety_car_count,virtual_safety_car_count,red_flag_count,yellow_flag_count,double_yellow_count,black_flag_count,track_limits_count,investigation_count,penalty_count,incident_count,race_control_messages_count,race_control_data_available,total_dnf_count,classified_driver_count,race_disruption_score
2011_01,0,0,0,0,0,0,0,0,0,2,0,0,7,15,9
2011_02,0,0,0,0,0,0,0,0,0,3,0,0,6,18,9
2011_03,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1
2011_04,0,0,0,0,0,0,0,0,0,0,0,0,2,22,2
2011_05,0,0,0,0,0,0,0,0,0,1,0,0,3,21,4
2011_06,0,0,0,0,0,0,0,0,0,4,0,0,7,17,11
2011_07,0,0,0,0,0,0,0,0,0,5,0,0,7,17,12
2011_08,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
2011_09,0,0,0,0,0,0,0,0,0,1,0,0,5,19,6
2011_10,0,0,0,0,0,0,0,0,0,1,0,0,4,20,5
2011_11,0,0,0,0,0,0,0,0,0,0,0,0,4,20,4
2011_12,0,0,0,0,0,0,0,0,0,2,0,0,5,19,7
2011_13,0,0,0,0,0,0,0,0,0,4,0,0,8,16,12
2011_14,0,0,0,0,0,0,0,0,0,3,0,0,4,20,7
2011_15,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1
2011_16,0,0,0,0,0,0,0,0,0,2,0,0,3,21,5
2011_17,0,0,0,0,0,0,0,0,0,2,0,0,5,19,7
2011_18,0,0,0,0,0,0,0,0,0,0,0,0,4,20,4
2011_19,0,0,0,0,0,0,0,0,0,0,0,0,4,20,4
2012_01,0,0,0,0,0,0,0,0,0,5,0,0,8,14,13
2012_02,0,0,0,0,0,0,0,0,0,1,0,0,3,21,4
2012_03,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1
2012_04,0,0,0,0,0,0,0,0,0,0,0,0,4,20,4
2012_05,0,0,0,0,0,0,0,0,0,2,0,0,5,19,7
2012_06,0,0,0,0,0,0,0,0,0,5,0,0,9,15,14
2012_07,0,0,0,0,0,0,0,0,0,0,0,0,4,20,4
2012_08,0,0,0,0,0,0,0,0,0,3,0,0,6,18,9
2012_09,0,0,0,0,0,0,0,0,0,2,0,0,3,21,5
2012_10,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1
