race_id,driver_id,dnf_previous_5,dns_previous_5,mechanical_dnf_previous_5,accident_dnf_previous_5,disqualified_previous_5,finish_rate_previous_5,reliability_score
2011_01,vettel,0,0,0,0,0,1.0,1.0
2011_01,hamilton,0,0,0,0,0,1.0,1.0
2011_01,petrov,0,0,0,0,0,1.0,1.0
2011_01,alonso,0,0,0,0,0,1.0,1.0
2011_01,webber,0,0,0,0,0,1.0,1.0
2011_01,button,0,0,0,0,0,1.0,1.0
2011_01,massa,0,0,0,0,0,1.0,1.0
2011_01,buemi,0,0,0,0,0,1.0,1.0
2011_01,sutil,0,0,0,0,0,1.0,1.0
2011_01,resta,0,0,0,0,0,1.0,1.0
2011_01,alguersuari,0,0,0,0,0,1.0,1.0
2011_01,heidfeld,0,0,0,0,0,1.0,1.0
2011_01,trulli,0,0,0,0,0,1.0,1.0
2011_01,ambrosio,0,0,0,0,0,1.0,1.0
2011_01,glock,0,0,0,0,0,1.0,1.0
2011_01,barrichello,0,0,0,0,0,1.0,1.0
2011_01,rosberg,0,0,0,0,0,1.0,1.0
2011_01,kovalainen,0,0,0,0,0,1.0,1.0
2011_01,michael_schumacher,0,0,0,0,0,1.0,1.0
2011_01,maldonado,0,0,0,0,0,1.0,1.0
2011_01,kobayashi,0,0,0,0,0,1.0,1.0
2011_01,perez,0,0,0,0,0,1.0,1.0
2011_02,vettel,0,0,0,0,0,1.0,1.0
2011_02,button,0,0,0,0,0,1.0,1.0
2011_02,heidfeld,0,0,0,0,0,1.0,1.0
2011_02,webber,0,0,0,0,0,1.0,1.0
2011_02,massa,0,0,0,0,0,1.0,1.0
2011_02,alonso,0,0,0,0,0,1.0,1.0
2011_02,kobayashi,0,0,0,0,1,0.0,0.0
2011_02,hamilton,0,0,0,0,0,1.0,1.0
2011_02,michael_schumacher,1,0,0,1,0,0.0,-0.05
2011_02,resta,0,0,0,0,0,1.0,1.0
2011_02,sutil,0,0,0,0,0,1.0,1.0
2011_02,rosberg,1,0,0,1,0,0.0,-0.05
2011_02,buemi,0,0,0,0,0,1.0,1.0
2011_02,alguersuari,0,0,0,0,0,1.0,1.0
2011_02,kovalainen,1,0,1,0,0,0.0,-0.1
2011_02,glock,0,0,0,0,0,1.0,1.0
2011_02,petrov,0,0,0,0,0,1.0,1.0
2011_02,liuzzi,0,0,0,0,0,1.0,1.0
2011_02,ambrosio,0,0,0,0,0,1.0,1.0
2011_02,trulli,0,0,0,0,0,1.0,1.0
2011_02,perez,0,0,0,0,1,0.0,0.0
2011_02,barrichello,1,0,1,0,0,0.0,-0.1
2011_02,karthikeyan,0,0,0,0,0,1.0,1.0
2011_02,maldonado,1,0,1,0,0,0.0,-0.1
2011_03,hamilton,0,0,0,0,0,1.0,1.0
2011_03,vettel,0,0,0,0,0,1.0,1.0
2011_03,webber,0,0,0,0,0,1.0,1.0
2011_03,button,0,0,0,0,0,1.0,1.0
2011_03,rosberg,1,0,0,1,0,0.5,0.45
2011_03,massa,0,0,0,0,0,1.0,1.0
2011_03,alonso,0,0,0,0,0,1.0,1.0
2011_03,michael_schumacher,1,0,0,1,0,0.5,0.45
2011_03,petrov,1,0,0,1,0,0.5,0.45
2011_03,kobayashi,0,0,0,0,1,0.5,0.5
2011_03,resta,0,0,0,0,0,1.0,1.0
2011_03,heidfeld,0,0,0,0,0,1.0,1.0
2011_03,barrichello,2,0,2,0,0,0.0,-0.2
2011_03,buemi,0,0,0,0,0,1.0,1.0
2011_03,sutil,0,0,0,0,0,1.0,1.0
2011_03,kovalainen,1,0,1,0,0,0.5,0.4
2011_03,perez,1,0,0,1,1,0.0,-0.05
2011_03,maldonado,2,0,2,0,0,0.0,-0.2
2011_03,trulli,1,0,1,0,0,0.5,0.4
2011_03,ambrosio,1,0,0,1,0,0.5,0.45
2011_03,glock,0,0,0,0,0,1.0,1.0
2011_03,liuzzi,0,0,0,0,0,1.0,1.0
2011_03,karthikeyan,0,0,0,0,0,1.0,1.0
2011_03,alguersuari,0,0,0,0,0,1.0,1.0
2011_04,vettel,0,0,0,0,0,1.0,1.0
2011_04,webber,0,0,0,0,0,1.0,1.0
2011_04,alonso,0,0,0,0,0,1.0,1.0
2011_04,hamilton,0,0,0,0,0,1.0,1.0
2011_04,rosberg,1,0,0,1,0,0.6666666666666666,0.6166666666666666
2011_04,button,0,0,0,0,0,1.0,1.0
2011_04,heidfeld,0,0,0,0,0,1.0,1.0
2011_04,petrov,1,0,0,1,0,0.6666666666666666,0.6166666666666666
2011_04,buemi,0,0,0,0,0,1.0,1.0
2011_04,kobayashi,0,0,0,0,1,0.6666666666666666,0.6666666666666666
2011_04,massa,0,0,0,0,0,1.0,1.0
2011_04,michael_schumacher,1,0,0,1,0,0.6666666666666666,0.6166666666666666
2011_04,sutil,0,0,0,0,0,1.0,1.0
2011_04,perez,1,0,0,1,1,0.3333333333333333,0.2833333333333333
2011_04,barrichello,2,0,2,0,0,0.3333333333333333,0.1333333333333333
2011_04,alguersuari,1,0,0,0,0,0.6666666666666666,0.6666666666666666
2011_04,maldonado,2,0,2,0,0,0.3333333333333333,0.1333333333333333
2011_04,trulli,1,0,1,0,0,0.6666666666666666,0.5666666666666667
2011_04,kovalainen,1,0,1,0,0,0.6666666666666666,0.5666666666666667
2011_04,ambrosio,1,0,0,1,0,0.6666666666666666,0.6166666666666666
2011_04,karthikeyan,0,0,0,0,0,1.0,1.0
2011_04,liuzzi,0,0,0,0,0,1.0,1.0
2011_04,resta,0,0,0,0,0,1.0,1.0
2011_04,glock,0,0,0,0,0,1.0,1.0
2011_05,vettel,0,0,0,0,0,1.0,1.0
2011_05,hamilton,0,0,0,0,0,1.0,1.0
2011_05,button,0,0,0,0,0,1.0,1.0
2011_05,webber,0,0,0,0,0,1.0,1.0
2011_05,alonso,0,0,0,0,0,1.0,1.0
2011_05,michael_schumacher,1,0,0,1,0,0.75,0.7
2011_05,rosberg,1,0,0,1,0,0.75,0.7
2011_05,heidfeld,0,0,0,0,0,1.0,1.0
2011_05,perez,1,0,0,1,1,0.5,0.45
2011_05,kobayashi,0,0,0,0,1,0.75,0.75
2011_05,petrov,1,0,0,1,0,0.75,0.7
2011_05,resta,1,0,0,0,0,0.75,0.75
2011_05,sutil,0,0,0,0,0,1.0,1.0
2011_05,buemi,0,0,0,0,0,1.0,1.0
2011_05,maldonado,2,0,2,0,0,0.5,0.3
2011_05,alguersuari,1,0,0,0,0,0.75,0.75
2011_05,barrichello,2,0,2,0,0,0.5,0.3
2011_05,trulli,1,0,1,0,0,0.75,0.65
2011_05,glock,1,0,1,0,0,0.75,0.65
2011_05,ambrosio,1,0,0,1,0,0.75,0.7
2011_05,karthikeyan,0,0,0,0,0,1.0,1.0
2011_05,massa,0,0,0,0,0,1.0,1.0
2011_05,kovalainen,1,0,1,0,0,0.75,0.65
2011_05,liuzzi,0,0,0,0,0,1.0,1.0
2011_06,vettel,0,0,0,0,0,1.0,1.0
2011_06,alonso,0,0,0,0,0,1.0,1.0
2011_06,button,0,0,0,0,0,1.0,1.0
2011_06,webber,0,0,0,0,0,1.0,1.0
2011_06,kobayashi,0,0,0,0,1,0.8,0.8
2011_06,hamilton,0,0,0,0,0,1.0,1.0
2011_06,sutil,0,0,0,0,0,1.0,1.0
2011_06,heidfeld,0,0,0,0,0,1.0,1.0
2011_06,barrichello,2,0,2,0,0,0.6,0.39999999999999997
2011_06,buemi,0,0,0,0,0,1.0,1.0
2011_06,rosberg,1,0,0,1,0,0.8,0.75
2011_06,resta,1,0,0,0,0,0.8,0.8
2011_06,trulli,1,0,1,0,0,0.8,0.7000000000000001
2011_06,kovalainen,2,0,1,1,0,0.6,0.45
2011_06,ambrosio,1,0,0,1,0,0.8,0.75
2011_06,liuzzi,1,0,1,0,0,0.75,0.65
2011_06,karthikeyan,0,0,0,0,0,1.0,1.0
2011_06,maldonado,2,0,2,0,0,0.6,0.39999999999999997
2011_06,petrov,1,0,0,1,0,0.8,0.75
2011_06,alguersuari,1,0,0,0,0,0.8,0.8
2011_06,massa,1,0,1,0,0,0.8,0.7000000000000001
2011_06,michael_schumacher,1,0,0,1,0,0.8,0.75
2011_06,glock,1,0,1,0,0,0.8,0.7000000000000001
2011_06,perez,1,0,0,1,1,0.6,0.5499999999999999
2011_07,button,0,0,0,0,0,1.0,1.0
2011_07,vettel,0,0,0,0,0,1.0,1.0
2011_07,webber,0,0,0,0,0,1.0,1.0
2011_07,michael_schumacher,1,0,1,0,0,0.8,0.7000000000000001
2011_07,petrov,2,0,0,2,0,0.6,0.5
2011_07,massa,2,0,1,1,0,0.6,0.45
2011_07,kobayashi,0,0,0,0,0,1.0,1.0
2011_07,alguersuari,2,0,0,1,0,0.6,0.5499999999999999
2011_07,barrichello,1,0,1,0,0,0.8,0.7000000000000001
2011_07,buemi,0,0,0,0,0,1.0,1.0
2011_07,rosberg,0,0,0,0,0,1.0,1.0
2011_07,rosa,0,0,0,0,0,1.0,1.0
2011_07,liuzzi,1,0,1,0,0,0.8,0.7000000000000001
2011_07,ambrosio,1,0,0,1,0,0.8,0.75
2011_07,glock,2,0,2,0,0,0.6,0.39999999999999997
2011_07,trulli,1,0,1,0,0,0.8,0.7000000000000001
2011_07,karthikeyan,0,0,0,0,0,1.0,1.0
2011_07,resta,1,0,0,0,0,0.8,0.8
2011_07,maldonado,2,0,1,1,0,0.6,0.45
2011_07,heidfeld,0,0,0,0,0,1.0,1.0
2011_07,sutil,0,0,0,0,0,1.0,1.0
2011_07,alonso,0,0,0,0,0,1.0,1.0
2011_07,kovalainen,1,0,0,1,0,0.8,0.75
2011_07,hamilton,0,0,0,0,0,1.0,1.0
2011_08,vettel,0,0,0,0,0,1.0,1.0
2011_08,alonso,1,0,0,1,0,0.8,0.75
2011_08,webber,0,0,0,0,0,1.0,1.0
2011_08,hamilton,1,0,0,1,0,0.8,0.75
2011_08,massa,2,0,1,1,0,0.6,0.45
2011_08,button,0,0,0,0,0,1.0,1.0
2011_08,rosberg,0,0,0,0,0,1.0,1.0
2011_08,alguersuari,2,0,0,1,0,0.6,0.5499999999999999
2011_08,sutil,1,0,0,1,0,0.8,0.75
2011_08,heidfeld,1,0,0,1,0,0.8,0.75
2011_08,perez,2,0,0,1,0,0.6,0.5499999999999999
2011_08,barrichello,0,0,0,0,0,1.0,1.0
2011_08,buemi,0,0,0,0,0,1.0,1.0
2011_08,resta,2,0,0,1,0,0.6,0.5499999999999999
2011_08,petrov,1,0,0,1,0,0.8,0.75
2011_08,kobayashi,0,0,0,0,0,1.0,1.0
2011_08,michael_schumacher,1,0,1,0,0,0.8,0.7000000000000001
2011_08,maldonado,2,0,0,1,0,0.6,0.5499999999999999
2011_08,kovalainen,2,0,1,1,0,0.6,0.45
2011_08,trulli,0,0,0,0,0,1.0,1.0
2011_08,glock,2,0,2,0,0,0.6,0.39999999999999997
2011_08,ambrosio,0,0,0,0,0,1.0,1.0
2011_08,liuzzi,1,0,1,0,0,0.8,0.7000000000000001
2011_08,karthikeyan,0,0,0,0,0,1.0,1.0
2011_09,alonso,1,0,0,1,0,0.8,0.75
2011_09,vettel,0,0,0,0,0,1.0,1.0
2011_09,webber,0,0,0,0,0,1.0,1.0
2011_09,hamilton,1,0,0,1,0,0.8,0.75
2011_09,massa,2,0,1,1,0,0.6,0.45
2011_09,rosberg,0,0,0,0,0,1.0,1.0
2011_09,perez,1,0,0,0,0,0.8,0.8
2011_09,heidfeld,1,0,0,1,0,0.8,0.75
2011_09,michael_schumacher,1,0,1,0,0,0.8,0.7000000000000001
2011_09,alguersuari,1,0,0,1,0,0.8,0.75
2011_09,sutil,1,0,0,1,0,0.8,0.75
2011_09,petrov,1,0,0,1,0,0.8,0.75
2011_09,barrichello,0,0,0,0,0,1.0,1.0
2011_09,maldonado,2,0,0,1,0,0.6,0.5499999999999999
2011_09,resta,2,0,0,1,0,0.6,0.5499999999999999
2011_09,glock,2,0,2,0,0,0.6,0.39999999999999997
2011_09,ambrosio,0,0,0,0,0,1.0,1.0
2011_09,liuzzi,1,0,1,0,0,0.8,0.7000000000000001
2011_09,ricciardo,0,0,0,0,0,1.0,1.0
2011_09,button,0,0,0,0,0,1.0,1.0
2011_09,buemi,0,0,0,0,0,1.0,1.0
2011_09,kobayashi,0,0,0,0,0,1.0,1.0
2011_09,trulli,0,0,0,0,0,1.0,1.0
2011_09,kovalainen,2,0,1,1,0,0.6,0.45
2011_10,hamilton,1,0,0,1,0,0.8,0.75
2011_10,alonso,1,0,0,1,0,0.8,0.75
2011_10,webber,0,0,0,0,0,1.0,1.0
2011_10,vettel,0,0,0,0,0,1.0,1.0
2011_10,massa,2,0,1,1,0,0.6,0.45
2011_10,sutil,1,0,0,1,0,0.8,0.75
2011_10,rosberg,0,0,0,0,0,1.0,1.0
2011_10,michael_schumacher,1,0,1,0,0,0.8,0.7000000000000001
2011_10,kobayashi,1,0,1,0,0,0.8,0.7000000000000001
2011_10,petrov,1,0,0,1,0,0.8,0.75
2011_10,perez,1,0,0,0,0,0.8,0.8
2011_10,alguersuari,1,0,0,1,0,0.8,0.75
2011_10,resta,1,0,0,1,0,0.8,0.75
2011_10,maldonado,2,0,0,1,0,0.6,0.5499999999999999
2011_10,buemi,1,0,0,1,0,0.8,0.75
2011_10,kovalainen,3,0,2,1,0,0.4,0.15000000000000002
2011_10,glock,1,0,1,0,0,0.8,0.7000000000000001
2011_10,ambrosio,0,0,0,0,0,1.0,1.0
2011_10,ricciardo,0,0,0,0,0,1.0,1.0
2011_10,chandhok,0,0,0,0,0,1.0,1.0
2011_10,liuzzi,1,0,1,0,0,0.8,0.7000000000000001
2011_10,button,1,0,0,0,0,0.8,0.8
2011_10,barrichello,0,0,0,0,0,1.0,1.0
2011_10,heidfeld,1,0,0,1,0,0.8,0.75
2011_11,button,2,0,1,0,0,0.6,0.5
2011_11,vettel,0,0,0,0,0,1.0,1.0
2011_11,alonso,1,0,0,1,0,0.8,0.75
2011_11,hamilton,1,0,0,1,0,0.8,0.75
2011_11,webber,0,0,0,0,0,1.0,1.0
2011_11,massa,1,0,0,1,0,0.8,0.75
2011_11,resta,1,0,0,1,0,0.8,0.75
2011_11,buemi,1,0,0,1,0,0.8,0.75
2011_11,rosberg,0,0,0,0,0,1.0,1.0
2011_11,alguersuari,1,0,0,1,0,0.8,0.75
2011_11,kobayashi,1,0,1,0,0,0.8,0.7000000000000001
2011_11,petrov,1,0,0,1,0,0.8,0.75
2011_11,barrichello,1,0,1,0,0,0.8,0.7000000000000001
2011_11,sutil,1,0,0,1,0,0.8,0.75
2011_11,perez,1,0,0,0,0,0.8,0.8
2011_11,maldonado,2,0,0,1,0,0.6,0.5499999999999999
2011_11,glock,1,0,1,0,0,0.8,0.7000000000000001
2011_11,ricciardo,0,0,0,0,0,1.0,1.0
2011_11,ambrosio,0,0,0,0,0,1.0,1.0
2011_11,liuzzi,1,0,1,0,0,0.8,0.7000000000000001
2011_11,kovalainen,2,0,2,0,0,0.6,0.39999999999999997
2011_11,michael_schumacher,1,0,1,0,0,0.8,0.7000000000000001
2011_11,heidfeld,2,0,0,2,0,0.6,0.5
2011_11,trulli,1,0,1,0,0,0.8,0.7000000000000001
2011_12,vettel,0,0,0,0,0,1.0,1.0
2011_12,webber,0,0,0,0,0,1.0,1.0
2011_12,button,2,0,1,0,0,0.6,0.5
2011_12,alonso,1,0,0,1,0,0.8,0.75
2011_12,michael_schumacher,1,0,1,0,0,0.8,0.7000000000000001
2011_12,rosberg,0,0,0,0,0,1.0,1.0
2011_12,sutil,1,0,0,1,0,0.8,0.75
2011_12,massa,0,0,0,0,0,1.0,1.0
2011_12,petrov,0,0,0,0,0,1.0,1.0
2011_12,maldonado,1,0,0,0,0,0.8,0.8
2011_12,resta,1,0,0,1,0,0.8,0.75
2011_12,kobayashi,1,0,1,0,0,0.8,0.7000000000000001
2011_12,bruno_senna,0,0,0,0,0,1.0,1.0
2011_12,trulli,2,0,2,0,0,0.6,0.39999999999999997
2011_12,kovalainen,3,0,3,0,0,0.4,0.09999999999999998
2011_12,barrichello,1,0,1,0,0,0.8,0.7000000000000001
2011_12,ambrosio,0,0,0,0,0,1.0,1.0
2011_12,glock,0,0,0,0,0,1.0,1.0
2011_12,liuzzi,1,0,1,0,0,0.8,0.7000000000000001
2011_12,perez,1,0,0,0,0,0.8,0.8
2011_12,ricciardo,0,0,0,0,0,1.0,1.0
2011_12,hamilton,1,0,0,1,0,0.8,0.75
2011_12,buemi,1,0,0,1,0,0.8,0.75
2011_12,alguersuari,0,0,0,0,0,1.0,1.0
2011_13,vettel,0,0,0,0,0,1.0,1.0
2011_13,button,2,0,1,0,0,0.6,0.5
2011_13,alonso,0,0,0,0,0,1.0,1.0
2011_13,hamilton,1,0,0,1,0,0.8,0.75
2011_13,michael_schumacher,1,0,1,0,0,0.8,0.7000000000000001
2011_13,massa,0,0,0,0,0,1.0,1.0
2011_13,alguersuari,1,0,0,1,0,0.8,0.75
2011_13,resta,0,0,0,0,0,1.0,1.0
2011_13,bruno_senna,0,0,0,0,0,1.0,1.0
2011_13,buemi,2,0,0,1,0,0.6,0.5499999999999999
2011_13,maldonado,0,0,0,0,0,1.0,1.0
2011_13,barrichello,1,0,1,0,0,0.8,0.7000000000000001
2011_13,kovalainen,2,0,2,0,0,0.6,0.39999999999999997
2011_13,trulli,2,0,2,0,0,0.6,0.39999999999999997
2011_13,glock,0,0,0,0,0,1.0,1.0
2011_13,ricciardo,1,0,1,0,0,0.75,0.65
2011_13,perez,1,0,1,0,0,0.8,0.7000000000000001
2011_13,kobayashi,1,0,1,0,0,0.8,0.7000000000000001
2011_13,sutil,0,0,0,0,0,1.0,1.0
2011_13,webber,0,0,0,0,0,1.0,1.0
2011_13,ambrosio,0,0,0,0,0,1.0,1.0
2011_13,petrov,0,0,0,0,0,1.0,1.0
2011_13,rosberg,0,0,0,0,0,1.0,1.0
2011_13,liuzzi,1,0,1,0,0,0.8,0.7000000000000001
2011_14,vettel,0,0,0,0,0,1.0,1.0
2011_14,button,2,0,1,0,0,0.6,0.5
2011_14,webber,1,0,0,1,0,0.8,0.75
2011_14,alonso,0,0,0,0,0,1.0,1.0
2011_14,hamilton,1,0,0,1,0,0.8,0.75
2011_14,resta,0,0,0,0,0,1.0,1.0
