model,train_rows,test_rows,train_start_season,train_end_season,test_season,accuracy,precision,recall,f1,roc_auc,race_precision_at_10,exact_top10_set_rate
logistic_regression,932,418,2011,2012,2013,0.6961722488038278,0.7058823529411765,0.5684210526315789,0.6297376093294461,0.7645198522622345,0.6789473684210524,0.0
random_forest,932,418,2011,2012,2013,0.8133971291866029,0.7745098039215687,0.8315789473684211,0.8020304568527918,0.8921052631578947,0.7999999999999999,0.0
extra_trees,932,418,2011,2012,2013,0.8205741626794258,0.757847533632287,0.8894736842105263,0.8184019370460048,0.8929824561403509,0.8105263157894737,0.0
hist_gradient_boosting,932,418,2011,2012,2013,0.784688995215311,0.7577319587628866,0.7736842105263158,0.765625,0.8669898430286241,0.7736842105263158,0.0
neural_network_mlp,932,418,2011,2012,2013,0.7248803827751196,0.7142857142857143,0.6578947368421053,0.684931506849315,0.8273776546629732,0.7052631578947368,0.0
logistic_regression,1350,407,2011,2013,2014,0.7714987714987716,0.7975460122699386,0.6842105263157895,0.7365439093484419,0.8410865874363328,0.7526315789473684,0.0
random_forest,1350,407,2011,2013,2014,0.8058968058968059,0.7817258883248731,0.8105263157894737,0.7958656330749354,0.8851321853019645,0.7789473684210527,0.0
extra_trees,1350,407,2011,2013,2014,0.7886977886977887,0.7452830188679245,0.8315789473684211,0.7860696517412935,0.8695124909046811,0.7578947368421053,0.0
hist_gradient_boosting,1350,407,2011,2013,2014,0.7616707616707616,0.803921568627451,0.6473684210526316,0.717201166180758,0.8549357264128062,0.768421052631579,0.0
neural_network_mlp,1350,407,2011,2013,2014,0.8083538083538083,0.7857142857142857,0.8105263157894737,0.7979274611398963,0.8758670870725199,0.7789473684210527,0.0
logistic_regression,1757,378,2011,2014,2015,0.708994708994709,0.7,0.7368421052631579,0.717948717948718,0.787989921612542,0.7210526315789473,0.0
random_forest,1757,378,2011,2014,2015,0.7354497354497355,0.7419354838709677,0.7263157894736842,0.7340425531914894,0.7986282194848824,0.7315789473684211,0.0
extra_trees,1757,378,2011,2014,2015,0.701058201058201,0.6824644549763034,0.7578947368421053,0.7182044887780549,0.78521836506159,0.7105263157894737,0.0
hist_gradient_boosting,1757,378,2011,2014,2015,0.716931216931217,0.7195767195767195,0.7157894736842105,0.7176781002638523,0.7846024636058231,0.7052631578947368,0.0
neural_network_mlp,1757,378,2011,2014,2015,0.6957671957671958,0.694300518134715,0.7052631578947368,0.6997389033942559,0.7790873460246361,0.6947368421052632,0.0
logistic_regression,2135,462,2011,2015,2016,0.816017316017316,0.8019323671497585,0.7904761904761904,0.7961630695443646,0.8831632653061225,0.8047619047619047,0.09523809523809523
random_forest,2135,462,2011,2015,2016,0.8181818181818182,0.7837837837837838,0.8285714285714286,0.8055555555555556,0.8895502645502645,0.8142857142857144,0.19047619047619047
extra_trees,2135,462,2011,2015,2016,0.829004329004329,0.7990867579908676,0.8333333333333334,0.8158508158508159,0.8904761904761905,0.8238095238095239,0.23809523809523808
hist_gradient_boosting,2135,462,2011,2015,2016,0.7922077922077922,0.7614678899082569,0.7904761904761904,0.7757009345794392,0.8683484504913077,0.7857142857142857,0.0
neural_network_mlp,2135,462,2011,2015,2016,0.8116883116883117,0.7709251101321586,0.8333333333333334,0.8009153318077803,0.8933673469387755,0.8,0.14285714285714285
logistic_regression,2597,400,2011,2016,2017,0.73,0.7110091743119266,0.775,0.7416267942583732,0.814075,0.74,0.0
random_forest,2597,400,2011,2016,2017,0.78,0.7916666666666666,0.76,0.7755102040816326,0.8406250000000001,0.78,0.05
extra_trees,2597,400,2011,2016,2017,0.785,0.7878787878787878,0.78,0.7839195979899497,0.836925,0.785,0.05
hist_gradient_boosting,2597,400,2011,2016,2017,0.7525,0.7759562841530054,0.71,0.741514360313316,0.815925,0.7500000000000001,0.05
neural_network_mlp,2597,400,2011,2016,2017,0.775,0.7696078431372549,0.785,0.7772277227722773,0.837275,0.7849999999999999,0.1
logistic_regression,2997,420,2011,2017,2018,0.7214285714285714,0.7246376811594203,0.7142857142857143,0.7194244604316546,0.7987528344671201,0.7333333333333334,0.0
random_forest,2997,420,2011,2017,2018,0.7571428571428571,0.7547169811320755,0.7619047619047619,0.7582938388625592,0.8263718820861679,0.7523809523809524,0.0
extra_trees,2997,420,2011,2017,2018,0.7428571428571429,0.7451923076923077,0.7380952380952381,0.7416267942583732,0.8145578231292516,0.7476190476190475,0.0
hist_gradient_boosting,2997,420,2011,2017,2018,0.7380952380952381,0.7314814814814815,0.7523809523809524,0.7417840375586855,0.806281179138322,0.7333333333333333,0.0
neural_network_mlp,2997,420,2011,2017,2018,0.7023809523809523,0.6450511945392492,0.9,0.7514910536779325,0.7962585034013605,0.7428571428571429,0.0
logistic_regression,3417,420,2011,2018,2019,0.6619047619047619,0.7125,0.5428571428571428,0.6162162162162163,0.7184807256235828,0.7047619047619048,0.0
random_forest,3417,420,2011,2018,2019,0.7476190476190476,0.7549019607843137,0.7333333333333333,0.7439613526570048,0.8287528344671202,0.7571428571428571,0.0
extra_trees,3417,420,2011,2018,2019,0.7476190476190476,0.7476190476190476,0.7476190476190476,0.7476190476190476,0.8243310657596372,0.7523809523809524,0.0
hist_gradient_boosting,3417,420,2011,2018,2019,0.7357142857142858,0.7487437185929648,0.7095238095238096,0.7286063569682152,0.8233333333333333,0.7428571428571429,0.0
neural_network_mlp,3417,420,2011,2018,2019,0.6761904761904762,0.7341772151898734,0.5523809523809524,0.6304347826086957,0.7475736961451247,0.7142857142857144,0.0
logistic_regression,3837,340,2011,2019,2020,0.7147058823529412,0.7212121212121212,0.7,0.7104477611940299,0.7950519031141868,0.7,0.0
random_forest,3837,340,2011,2019,2020,0.7705882352941177,0.7346938775510204,0.8470588235294118,0.7868852459016393,0.8252595155709342,0.7588235294117647,0.0
extra_trees,3837,340,2011,2019,2020,0.75,0.7225130890052356,0.8117647058823529,0.7645429362880887,0.80840830449827,0.711764705882353,0.0
hist_gradient_boosting,3837,340,2011,2019,2020,0.7735294117647059,0.7409326424870466,0.8411764705882353,0.7878787878787878,0.8288581314878892,0.7470588235294118,0.0
neural_network_mlp,3837,340,2011,2019,2020,0.7617647058823529,0.7236180904522613,0.8470588235294118,0.7804878048780488,0.8188927335640138,0.7529411764705882,0.0
logistic_regression,4177,440,2011,2020,2021,0.7545454545454545,0.7137404580152672,0.85,0.7759336099585062,0.8263016528925619,0.740909090909091,0.0
random_forest,4177,440,2011,2020,2021,0.7909090909090909,0.756,0.8590909090909091,0.8042553191489362,0.8452066115702479,0.7772727272727273,0.0
extra_trees,4177,440,2011,2020,2021,0.7886363636363637,0.7509881422924901,0.8636363636363636,0.8033826638477801,0.8473760330578513,0.7863636363636364,0.0
hist_gradient_boosting,4177,440,2011,2020,2021,0.7772727272727272,0.7479674796747967,0.8363636363636363,0.7896995708154506,0.8375619834710744,0.7681818181818183,0.0
neural_network_mlp,4177,440,2011,2020,2021,0.775,0.7510373443983402,0.8227272727272728,0.7852494577006508,0.8344008264462811,0.7863636363636364,0.0
logistic_regression,4617,440,2011,2021,2022,0.7886363636363637,0.7926267281105991,0.7818181818181819,0.7871853546910755,0.8204338842975207,0.7681818181818181,0.0
random_forest,4617,440,2011,2021,2022,0.7772727272727272,0.7675438596491229,0.7954545454545454,0.78125,0.8367975206611571,0.7545454545454544,0.0
extra_trees,4617,440,2011,2021,2022,0.7681818181818182,0.7478991596638656,0.8090909090909091,0.777292576419214,0.8391322314049586,0.7727272727272727,0.0
hist_gradient_boosting,4617,440,2011,2021,2022,0.7818181818181819,0.7792792792792793,0.7863636363636364,0.7828054298642534,0.8330578512396695,0.7772727272727273,0.045454545454545456
neural_network_mlp,4617,440,2011,2021,2022,0.7454545454545455,0.7125984251968503,0.8227272727272728,0.7637130801687764,0.8298347107438017,0.7727272727272727,0.0
logistic_regression,5057,440,2011,2022,2023,0.7840909090909091,0.7802690582959642,0.7909090909090909,0.7855530474040632,0.8529545454545453,0.7999999999999999,0.045454545454545456
random_forest,5057,440,2011,2022,2023,0.7863636363636364,0.7647058823529411,0.8272727272727273,0.7947598253275109,0.8532231404958677,0.8045454545454547,0.09090909090909091
extra_trees,5057,440,2011,2022,2023,0.7977272727272727,0.7787234042553192,0.8318181818181818,0.8043956043956044,0.8538016528925619,0.7954545454545454,0.045454545454545456
hist_gradient_boosting,5057,440,2011,2022,2023,0.8,0.7773109243697479,0.8409090909090909,0.8078602620087336,0.857685950413223,0.7999999999999999,0.045454545454545456
neural_network_mlp,5057,440,2011,2022,2023,0.7863636363636364,0.771551724137931,0.8136363636363636,0.7920353982300885,0.8515495867768595,0.8,0.045454545454545456
logistic_regression,5497,479,2011,2023,2024,0.7536534446764092,0.7033333333333334,0.8791666666666667,0.7814814814814814,0.8410216178521618,0.8125,0.041666666666666664
random_forest,5497,479,2011,2023,2024,0.8392484342379958,0.8438818565400844,0.8333333333333334,0.8385744234800838,0.9122559274755927,0.8291666666666667,0.16666666666666666
extra_trees,5497,479,2011,2023,2024,0.8288100208768268,0.8211382113821138,0.8416666666666667,0.831275720164609,0.8961645746164576,0.8249999999999998,0.08333333333333333
hist_gradient_boosting,5497,479,2011,2023,2024,0.8100208768267223,0.8016194331983806,0.825,0.813141683778234,0.8939504881450488,0.8041666666666666,0.041666666666666664
neural_network_mlp,5497,479,2011,2023,2024,0.8308977035490606,0.8533333333333334,0.8,0.8258064516129032,0.8852336122733613,0.8166666666666665,0.08333333333333333
logistic_regression,5976,479,2011,2024,2025,0.7453027139874739,0.8470588235294118,0.6,0.7024390243902439,0.8109135285913528,0.7458333333333332,0.041666666666666664
random_forest,5976,479,2011,2024,2025,0.7682672233820459,0.7654320987654321,0.775,0.7701863354037267,0.8429393305439331,0.7583333333333333,0.041666666666666664
extra_trees,5976,479,2011,2024,2025,0.7432150313152401,0.7276264591439688,0.7791666666666667,0.7525150905432596,0.8322350069735007,0.7541666666666668,0.041666666666666664
hist_gradient_boosting,5976,479,2011,2024,2025,0.7703549060542797,0.7777777777777778,0.7583333333333333,0.7679324894514767,0.8358960948396095,0.775,0.08333333333333333
neural_network_mlp,5976,479,2011,2024,2025,0.7620041753653445,0.7669491525423728,0.7541666666666667,0.7605042016806722,0.830910041841004,0.7708333333333334,0.041666666666666664
logistic_regression,6455,66,2011,2025,2026,0.7121212121212122,0.7037037037037037,0.6333333333333333,0.6666666666666666,0.7675925925925925,0.7000000000000001,0.0
random_forest,6455,66,2011,2025,2026,0.7575757575757576,0.75,0.7,0.7241379310344828,0.812962962962963,0.7333333333333334,0.0
extra_trees,6455,66,2011,2025,2026,0.7272727272727273,0.7,0.7,0.7,0.7777777777777778,0.6999999999999998,0.0
hist_gradient_boosting,6455,66,2011,2025,2026,0.7121212121212122,0.6774193548387096,0.7,0.6885245901639344,0.7972222222222223,0.6666666666666666,0.0
neural_network_mlp,6455,66,2011,2025,2026,0.7575757575757576,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.812962962962963,0.7333333333333333,0.0
